lineup,mp,diff_pts,diff_fg,diff_fga,diff_fg_pct,diff_fg3,diff_fg3a,diff_fg3_pct,diff_efg_pct,diff_ft,diff_fta,diff_ft_pct,diff_orb,diff_orb_pct,diff_drb,diff_drb_pct,diff_trb,diff_trb_pct,diff_ast,diff_stl,diff_blk,diff_tov,diff_pf,player_ids,number_players,year,team
K. Garnett | D. Garrett | T. Gugliotta | S. Marbury | D. West MIN 1997,489.1333333333333,7.2,6.1,0.7,0.064,-1.3,-5.9,0.073,0.057,-3.6,-4.4,-0.018000000000000002,-2.1,-2.1,2.1,-2.1,0.0,0.0,10.1,0.2,2.4,-1.0,0.1,"garneke01, garrede01, guglito01, marbust01, westdo01",5,1997,MIN
K. Garnett | T. Gugliotta | S. Marbury | S. Vranković | D. West MIN 1997,207.4,-6.7,-1.2,-8.4,0.033,-2.4,-7.3,0.065,0.023,-2.0,-3.6,0.028999999999999998,-6.0,-6.4,3.4,-6.4,-1.0,-2.4,-0.2,-2.1,3.6,2.9,2.1,"garneke01, guglito01, marbust01, vrankst01, westdo01",5,1997,MIN
K. Garnett | D. Garrett | T. Gugliotta | T. Porter | D. West MIN 1997,154.3,6.8,1.7,-2.4,0.034,-4.1,-6.3,-0.13,0.01,7.5,8.4,0.031,2.2,6.5,4.6,6.5,3.2,7.7,7.0,-2.2,-0.6,0.4,-2.0,"garneke01, garrede01, guglito01, portete01, westdo01",5,1997,MIN
K. Garnett | T. Gugliotta | T. Porter | S. Vranković | D. West MIN 1997,152.35,11.9,6.1,3.1,0.055,-3.7,-14.1,0.094,0.033,3.4,0.9,0.12300000000000001,-1.2,-5.8,-5.8,-5.8,-3.1,-7.3,3.1,2.7,3.2,-4.8,2.6,"garneke01, guglito01, portete01, vrankst01, westdo01",5,1997,MIN
K. Garnett | D. Garrett | T. Gugliotta | S. Marbury | J. Robinson MIN 1997,138.45,-13.2,-3.4,-6.4,-0.003,-3.3,1.5,-0.243,-0.019,-3.1,-1.4,-0.081,-5.9,-11.4,-2.5,-11.4,-4.0,-9.5,1.7,-2.8,2.6,2.6,-1.0,"garneke01, garrede01, guglito01, marbust01, robinja02",5,1997,MIN
K. Garnett | T. Gugliotta | S. Marbury | S. Mitchell | D. West MIN 1997,117.43333333333334,7.8,3.6,3.3,0.027000000000000003,-0.4,-2.5,0.048,0.023,0.9,-1.2,0.042,0.2,-0.7,-1.3,-0.7,-0.4,-1.1,5.2,3.0,3.1,-2.0,-0.4,"garneke01, guglito01, marbust01, mitchsa01, westdo01",5,1997,MIN
K. Garnett | T. Gugliotta | S. Marbury | S. Mitchell | J. Robinson MIN 1997,101.6,-19.1,-9.3,-8.0,-0.067,1.5,6.9,-0.023,-0.055,-2.0,1.8,-0.10800000000000001,-5.5,-10.0,-2.5,-10.0,-4.7,-10.3,-5.2,-3.9,0.9,0.5,1.7,"garneke01, guglito01, marbust01, mitchsa01, robinja02",5,1997,MIN
K. Garnett | T. Gugliotta | S. Mitchell | T. Porter | J. Robinson MIN 1997,85.81666666666666,21.7,4.3,-4.1,0.07400000000000001,-1.0,-7.3,0.051,0.069,14.1,21.2,-0.053,2.9,6.0,2.3,6.0,2.8,6.4,4.7,0.8,4.8,-5.0,-2.0,"garneke01, guglito01, mitchsa01, portete01, robinja02",5,1997,MIN
C. Carr | K. Garnett | T. Gugliotta | S. Marbury | S. Vranković MIN 1997,83.95,-0.6,-1.8,-8.2,0.025,2.6,1.0,0.156,0.045,0.4,-1.2,0.071,-5.6,-11.1,-2.1,-11.1,-3.6,-8.5,1.9,3.9,3.9,1.8,0.6,"carrch01, garneke01, guglito01, marbust01, vrankst01",5,1997,MIN
K. Garnett | T. Gugliotta | S. Marbury | S. Mitchell | T. Porter MIN 1997,73.11666666666666,16.6,-4.0,-24.5,0.08,-1.7,-12.4,0.063,0.078,24.9,33.1,-0.045,-6.5,-9.2,5.7,-9.2,0.3,0.7,1.2,-2.4,7.4,2.8,-6.8,"garneke01, guglito01, marbust01, mitchsa01, portete01",5,1997,MIN
K. Garnett | D. Garrett | T. Gugliotta | S. Marbury | T. Porter MIN 1997,71.36666666666666,29.4,8.5,0.2,0.095,-2.4,-5.5,-0.005,0.08199999999999999,14.8,20.0,0.005,6.6,16.4,9.5,16.4,7.9,17.6,9.4,3.1,3.9,-1.7,-8.6,"garneke01, garrede01, guglito01, marbust01, portete01",5,1997,MIN
K. Garnett | S. Mitchell | C. Parks | T. Porter | J. Robinson MIN 1997,70.6,-10.4,-0.8,-6.2,0.025,0.6,-3.3,0.11599999999999999,0.032,-9.3,-10.9,-0.01,-4.0,-0.3,8.0,-0.3,1.8,4.6,7.6,-5.7,4.5,5.5,7.0,"garneke01, mitchsa01, parksch02, portete01, robinja02",5,1997,MIN
T. Gugliotta | S. Mitchell | C. Parks | T. Porter | J. Robinson MIN 1997,61.03333333333333,-30.3,-13.3,-13.0,-0.073,-3.9,-10.6,0.04,-0.087,0.2,-1.8,0.063,-6.8,-14.0,-5.2,-14.0,-6.3,-14.0,-8.2,-3.2,-4.3,5.7,-2.2,"guglito01, mitchsa01, parksch02, portete01, robinja02",5,1997,MIN
D. Garrett | T. Gugliotta | S. Marbury | S. Mitchell | D. West MIN 1997,59.15,1.9,2.3,3.0,0.01,-2.4,-5.6,-0.012,-0.006,-0.4,-0.3,-0.005,2.7,3.3,-2.1,3.3,0.4,1.1,-0.4,-0.1,-2.6,-2.2,-1.3,"garrede01, guglito01, marbust01, mitchsa01, westdo01",5,1997,MIN
K. Garnett | S. Marbury | S. Mitchell | C. Parks | J. Robinson MIN 1997,57.06666666666667,15.2,4.1,-1.3,0.052000000000000005,1.2,-1.4,0.083,0.059000000000000004,5.7,4.9,0.052000000000000005,3.5,9.5,6.0,9.5,4.9,10.4,-2.2,-4.1,-0.2,3.3,-1.0,"garneke01, marbust01, mitchsa01, parksch02, robinja02",5,1997,MIN
K. Garnett | T. Gugliotta | S. Mitchell | T. Porter | D. West MIN 1997,54.833333333333336,-8.3,-0.6,12.9,-0.067,-3.9,-6.9,-0.20800000000000002,-0.094,-3.3,-7.4,0.051,3.6,1.6,-6.1,1.6,-1.4,-2.9,-2.2,7.9,-1.7,-5.2,0.0,"garneke01, guglito01, mitchsa01, portete01, westdo01",5,1997,MIN
T. Gugliotta | S. Marbury | S. Mitchell | S. Vranković | D. West MIN 1997,50.55,-22.6,-1.5,2.1,-0.027000000000000003,-4.1,-4.2,-0.292,-0.05,-15.6,-15.6,-0.221,0.9,-0.3,-1.8,-0.3,-0.5,-1.1,-0.3,-5.0,5.2,6.0,-0.5,"guglito01, marbust01, mitchsa01, vrankst01, westdo01",5,1997,MIN
K. Garnett | T. Gugliotta | S. Marbury | C. Parks | D. West MIN 1997,50.03333333333333,-32.9,-17.8,-22.8,-0.08900000000000001,-1.3,-0.9,-0.1,-0.092,4.0,4.3,0.065,-9.3,-16.7,-2.4,-16.7,-6.8,-14.9,-11.4,-6.6,4.8,12.3,-3.6,"garneke01, guglito01, marbust01, parksch02, westdo01",5,1997,MIN
C. Carr | K. Garnett | T. Gugliotta | S. Marbury | C. Parks MIN 1997,46.15,21.6,7.3,-2.2,0.084,1.1,2.4,0.075,0.09,5.8,7.0,0.003,0.4,4.2,6.8,4.2,3.8,6.8,10.2,-0.1,7.4,-4.1,-3.8,"carrch01, garneke01, guglito01, marbust01, parksch02",5,1997,MIN
K. Garnett | S. Mitchell | C. Parks | T. Porter | D. West MIN 1997,40.71666666666667,5.3,2.6,17.1,-0.08,-7.9,-2.6,-0.5,-0.139,7.9,6.6,0.113,6.6,3.8,-10.5,3.8,-2.0,-5.5,-1.3,11.8,1.3,-15.8,-0.7,"garneke01, mitchsa01, parksch02, portete01, westdo01",5,1997,MIN
C. Carr | K. Garnett | T. Gugliotta | S. Marbury | C. Parks MIN 1998,350.73333333333335,4.7,0.7,-1.6,0.016,-0.4,-3.9,0.069,0.013999999999999999,3.8,2.7,0.086,-2.5,-3.6,0.4,-3.6,-1.0,-2.3,6.9,0.7,2.0,-2.0,0.1,"carrch01, garneke01, guglito01, marbust01, parksch02",5,1998,MIN
C. Carr | K. Garnett | T. Gugliotta | S. Marbury | S. Roberts MIN 1998,306.45,-1.8,1.0,1.6,0.003,-4.7,-8.7,-0.113,-0.024,0.8,-0.2,0.043,3.3,8.8,5.6,8.8,4.6,10.2,3.1,-1.6,0.8,2.5,0.3,"carrch01, garneke01, guglito01, marbust01, roberst01",5,1998,MIN
K. Garnett | S. Marbury | S. Mitchell | C. Parks | A. Peeler MIN 1998,220.98333333333332,-10.0,-0.6,-1.7,0.001,-0.9,-1.1,-0.035,-0.003,-7.9,-6.4,-0.157,-5.8,-11.3,-5.6,-11.3,-5.6,-11.2,5.6,1.8,3.2,-1.1,3.4,"garneke01, marbust01, mitchsa01, parksch02, peelean01",5,1998,MIN
K. Garnett | S. Marbury | S. Mitchell | A. Peeler | S. Roberts MIN 1998,130.11666666666667,2.1,5.4,10.0,0.01,0.5,-2.0,0.10300000000000001,0.01,-9.3,-11.1,-0.061,1.7,0.3,-3.5,0.3,-0.6,-1.3,4.5,2.9,0.6,-3.1,4.2,"garneke01, marbust01, mitchsa01, peelean01, roberst01",5,1998,MIN
