lineup,mp,diff_pts,diff_fg,diff_fga,diff_fg_pct,diff_fg3,diff_fg3a,diff_fg3_pct,diff_efg_pct,diff_ft,diff_fta,diff_ft_pct,diff_orb,diff_orb_pct,diff_drb,diff_drb_pct,diff_trb,diff_trb_pct,diff_ast,diff_stl,diff_blk,diff_tov,diff_pf,player_ids,number_players,year,team
P. Ewing | A. Houston | L. Johnson | C. Oakley NYK 1997,1304.4166666666667,2.5,3.2,-0.9,0.043,-0.6,-2.5,0.027000000000000003,0.04,-3.4,-5.1,0.016,-0.1,3.0,4.8,3.0,2.4,5.4,3.7,-1.7,2.0,2.2,1.7,"ewingpa01, houstal01, johnsla02, oaklech01",4,1997,NYK
C. Childs | P. Ewing | A. Houston | C. Oakley NYK 1997,1118.8666666666666,2.4,1.9,-3.8,0.042,-0.4,-3.9,0.06,0.040999999999999995,-0.9,-2.5,0.042,0.2,4.0,5.8,4.0,3.0,6.7,1.9,-2.9,2.3,4.6,1.2,"childch01, ewingpa01, houstal01, oaklech01",4,1997,NYK
C. Childs | P. Ewing | L. Johnson | C. Oakley NYK 1997,1071.1833333333334,5.1,3.0,-1.9,0.045,0.0,-3.0,0.07,0.046,-0.9,-2.0,0.025,0.4,3.9,5.3,3.9,3.0,6.6,3.0,-2.4,1.8,2.6,1.5,"childch01, ewingpa01, johnsla02, oaklech01",4,1997,NYK
C. Childs | A. Houston | L. Johnson | C. Oakley NYK 1997,1047.4333333333334,3.3,2.3,-1.2,0.033,-0.1,-2.8,0.055999999999999994,0.033,-1.2,-3.1,0.048,1.0,4.7,5.0,4.7,3.0,6.7,1.2,-2.2,1.6,3.0,1.5,"childch01, houstal01, johnsla02, oaklech01",4,1997,NYK
C. Childs | P. Ewing | A. Houston | L. Johnson NYK 1997,1023.45,4.8,2.7,-3.6,0.05,0.2,-3.1,0.08900000000000001,0.053,-0.8,-2.3,0.04,-0.8,1.9,5.2,1.9,2.3,5.2,2.9,-2.0,2.0,3.1,1.1,"childch01, ewingpa01, houstal01, johnsla02",4,1997,NYK
P. Ewing | A. Houston | L. Johnson | C. Ward NYK 1997,472.8666666666667,2.6,2.8,-1.3,0.042,-1.0,0.8,-0.084,0.037000000000000005,-2.1,-1.9,-0.021,0.0,1.9,3.1,1.9,1.4,3.4,4.5,-1.0,2.3,0.5,-0.2,"ewingpa01, houstal01, johnsla02, wardch01",4,1997,NYK
P. Ewing | L. Johnson | C. Oakley | C. Ward NYK 1997,470.8,2.3,3.3,-1.4,0.048,-2.0,-3.1,-0.05,0.037000000000000005,-2.3,-1.6,-0.039,-0.2,2.6,4.7,2.6,2.2,5.2,5.8,0.7,1.0,0.9,-0.1,"ewingpa01, johnsla02, oaklech01, wardch01",4,1997,NYK
P. Ewing | A. Houston | C. Oakley | C. Ward NYK 1997,461.73333333333335,2.1,4.5,0.0,0.055,-1.7,-2.4,-0.039,0.045,-5.4,-5.2,-0.047,-0.1,2.8,4.1,2.8,1.9,4.5,5.4,-1.1,2.1,1.1,1.1,"ewingpa01, houstal01, oaklech01, wardch01",4,1997,NYK
A. Houston | L. Johnson | C. Oakley | C. Ward NYK 1997,390.5,-2.3,4.0,1.9,0.037000000000000005,-1.4,-0.7,-0.067,0.027999999999999997,-9.0,-10.0,-0.057999999999999996,0.4,2.9,3.3,2.9,1.8,4.4,5.0,-1.3,1.4,1.9,1.6,"houstal01, johnsla02, oaklech01, wardch01",4,1997,NYK
P. Ewing | L. Johnson | C. Oakley | J. Starks NYK 1997,314.48333333333335,9.3,2.7,-0.3,0.036000000000000004,-0.7,-2.3,-0.001,0.031,4.7,5.3,0.018000000000000002,2.4,6.4,3.7,6.4,3.3,7.7,5.3,-0.7,-0.6,-0.4,-1.5,"ewingpa01, johnsla02, oaklech01, starkjo01",4,1997,NYK
C. Oakley | J. Starks | C. Ward | B. Williams NYK 1997,284.8833333333333,-4.5,2.6,4.7,0.008,1.6,4.0,0.015,0.015,-11.2,-10.9,-0.113,3.0,5.3,1.0,5.3,2.5,5.4,5.4,-1.3,-1.7,1.7,3.3,"oaklech01, starkjo01, wardch01, willibu01",4,1997,NYK
