lineup,mp,diff_pts,diff_fg,diff_fga,diff_fg_pct,diff_fg3,diff_fg3a,diff_fg3_pct,diff_efg_pct,diff_ft,diff_fta,diff_ft_pct,diff_orb,diff_orb_pct,diff_drb,diff_drb_pct,diff_trb,diff_trb_pct,diff_ast,diff_stl,diff_blk,diff_tov,diff_pf,player_ids,number_players,year,team
H. Hawkins | S. Kemp | J. McIlvaine | G. Payton | D. Schrempf SEA 1997,807.7666666666667,7.6,2.8,0.8,0.027000000000000003,-1.0,-1.0,-0.031,0.021,3.0,4.7,-0.019,1.0,2.1,1.1,2.1,1.0,2.2,1.6,1.3,2.1,-2.1,-2.4,"hawkihe01, kempsh01, mcilvji01, paytoga01, schrede01",5,1997,SEA
H. Hawkins | S. Kemp | G. Payton | S. Perkins | D. Schrempf SEA 1997,391.53333333333336,14.9,2.6,-7.1,0.076,1.1,0.4,0.044000000000000004,0.08800000000000001,8.0,10.1,0.006,-2.3,0.1,5.7,0.1,1.6,4.2,1.0,-0.5,-1.2,-1.2,-1.9,"hawkihe01, kempsh01, paytoga01, perkisa01, schrede01",5,1997,SEA
H. Hawkins | S. Kemp | J. McIlvaine | G. Payton | L. Stewart SEA 1997,250.25,15.4,8.9,8.2,0.059000000000000004,3.2,-0.2,0.155,0.073,-5.6,-6.8,-0.040999999999999995,1.1,2.3,0.8,2.3,1.2,2.6,2.9,5.3,-0.8,-5.1,3.1,"hawkihe01, kempsh01, mcilvji01, paytoga01, stewala01",5,1997,SEA
H. Hawkins | S. Kemp | N. McMillan | G. Payton | S. Perkins SEA 1997,101.96666666666667,0.4,0.2,0.6,0.0,-6.2,-9.1,-0.126,-0.042,6.1,10.3,-0.039,0.2,-0.9,-1.7,-0.9,-1.0,-2.4,0.0,6.2,-2.4,-5.4,-3.5,"hawkihe01, kempsh01, mcmilna01, paytoga01, perkisa01",5,1997,SEA
T. Cummings | N. McMillan | G. Payton | S. Perkins | D. Wingate SEA 1997,96.11666666666666,15.8,6.6,5.4,0.043,-3.4,-10.3,0.021,0.022000000000000002,6.0,7.3,0.001,0.5,-1.0,-2.0,-1.0,-0.6,-1.3,5.6,6.5,-3.2,-6.4,-2.1,"cummite01, mcmilna01, paytoga01, perkisa01, wingada01",5,1997,SEA
T. Cummings | H. Hawkins | S. Kemp | G. Payton | D. Schrempf SEA 1997,57.083333333333336,3.1,-1.0,15.4,-0.1,-0.4,1.9,-0.065,-0.111,5.5,-0.3,0.21100000000000002,4.9,5.2,-3.4,5.2,0.5,1.1,5.4,6.0,-8.1,-10.8,-2.3,"cummite01, hawkihe01, kempsh01, paytoga01, schrede01",5,1997,SEA
C. Ehlo | S. Kemp | G. Payton | S. Perkins | E. Snow SEA 1997,54.88333333333333,3.1,3.9,0.8,0.040999999999999995,2.6,12.0,-0.078,0.055,-9.4,-8.9,-0.131,-5.0,-5.7,3.2,-5.7,-1.6,-3.3,12.0,3.7,-5.0,-3.1,0.0,"ehlocr01, kempsh01, paytoga01, perkisa01, snower01",5,1997,SEA
T. Cummings | H. Hawkins | S. Kemp | G. Payton | D. Wingate SEA 1997,53.61666666666667,30.5,7.3,-0.4,0.095,-4.7,-2.8,-0.15,0.066,12.0,13.9,0.012,-0.4,2.1,4.2,2.1,1.6,4.0,0.2,7.9,-0.9,-4.9,2.7,"cummite01, hawkihe01, kempsh01, paytoga01, wingada01",5,1997,SEA
T. Cummings | H. Hawkins | G. Payton | S. Perkins | D. Schrempf SEA 1997,45.38333333333333,16.5,8.2,2.7,0.08900000000000001,-2.3,7.8,-0.42200000000000004,0.073,2.4,-4.1,0.183,-4.4,-5.1,7.2,-5.1,1.0,2.7,-1.8,4.5,-2.9,-6.7,-1.6,"cummite01, hawkihe01, paytoga01, perkisa01, schrede01",5,1997,SEA
H. Hawkins | J. McIlvaine | G. Payton | S. Perkins | D. Schrempf SEA 1997,44.733333333333334,48.6,10.6,2.1,0.105,10.7,10.3,0.271,0.161,16.7,20.4,0.10300000000000001,1.7,5.0,4.6,5.0,3.5,7.0,8.9,3.2,5.5,-9.9,-5.8,"hawkihe01, mcilvji01, paytoga01, perkisa01, schrede01",5,1997,SEA
H. Hawkins | S. Kemp | G. Payton | S. Perkins | L. Stewart SEA 1997,42.05,16.0,12.7,12.0,0.083,-5.7,-7.2,-0.107,0.043,-3.7,-4.6,-0.002,2.3,3.7,0.6,3.7,1.9,4.1,4.3,0.7,-1.6,-8.0,3.2,"hawkihe01, kempsh01, paytoga01, perkisa01, stewala01",5,1997,SEA
T. Cummings | H. Hawkins | N. McMillan | G. Payton | S. Perkins SEA 1997,38.333333333333336,1.5,7.6,11.9,0.037000000000000005,4.0,-0.7,0.16699999999999998,0.055,-17.7,-23.6,-0.03,-3.3,-13.6,-11.8,-13.6,-7.7,-16.9,7.9,1.7,-2.7,-4.8,5.6,"cummite01, hawkihe01, mcmilna01, paytoga01, perkisa01",5,1997,SEA
T. Cummings | C. Ehlo | N. McMillan | G. Payton | S. Perkins SEA 1997,36.2,7.7,0.4,3.8,-0.018000000000000002,-1.8,-3.9,-0.013999999999999999,-0.033,8.7,10.0,0.057999999999999996,-3.3,-10.7,-6.8,-10.7,-5.4,-14.3,0.8,9.6,-3.0,-12.9,-3.1,"cummite01, ehlocr01, mcmilna01, paytoga01, perkisa01",5,1997,SEA
H. Hawkins | G. Payton | S. Perkins | D. Schrempf | L. Stewart SEA 1997,34.78333333333333,31.4,7.2,3.5,0.069,6.0,11.1,0.09699999999999999,0.10300000000000001,5.3,4.2,0.064,-0.9,-2.6,-1.1,-2.6,-0.7,-1.9,3.7,2.5,-1.7,-6.5,1.4,"hawkihe01, paytoga01, perkisa01, schrede01, stewala01",5,1997,SEA
C. Ehlo | H. Hawkins | S. Kemp | G. Payton | D. Schrempf SEA 1997,34.13333333333333,6.9,7.2,12.5,0.019,-0.5,5.0,-0.146,0.008,-1.0,3.2,-0.11900000000000001,8.2,8.1,-6.1,8.1,0.7,1.6,15.1,1.9,-2.7,-5.1,-5.2,"ehlocr01, hawkihe01, kempsh01, paytoga01, schrede01",5,1997,SEA
C. Ehlo | S. Kemp | N. McMillan | G. Payton | S. Perkins SEA 1997,33.81666666666667,13.3,6.0,23.3,-0.040999999999999995,12.4,23.7,0.264,0.021,-11.2,-13.7,-0.08,11.0,14.0,-9.0,14.0,1.5,3.4,5.4,10.2,1.3,-3.9,2.3,"ehlocr01, kempsh01, mcmilna01, paytoga01, perkisa01",5,1997,SEA
T. Cummings | H. Hawkins | S. Kemp | G. Payton | L. Stewart SEA 1997,32.0,1.6,4.9,-1.6,0.064,-3.3,-6.6,-0.051,0.047,-4.9,0.0,-0.214,3.3,7.7,3.3,7.7,3.3,7.7,6.6,4.9,-1.6,4.9,-3.3,"cummite01, hawkihe01, kempsh01, paytoga01, stewala01",5,1997,SEA
T. Cummings | H. Hawkins | N. McMillan | S. Perkins | D. Wingate SEA 1997,30.3,22.0,5.9,24.0,-0.077,-1.3,1.0,-0.091,-0.098,11.6,2.9,0.41700000000000004,22.2,41.5,9.4,41.5,15.9,39.1,7.1,6.2,-0.1,-4.1,-2.7,"cummite01, hawkihe01, mcmilna01, perkisa01, wingada01",5,1997,SEA
C. Ehlo | G. Payton | S. Perkins | D. Schrempf | L. Stewart SEA 1997,29.233333333333334,-12.5,-6.3,-28.6,0.073,-12.1,-18.3,-0.17600000000000002,0.026000000000000002,12.2,12.6,0.161,-20.9,-26.3,3.4,-26.3,-8.3,-17.6,-7.6,4.8,-4.1,3.2,-7.4,"ehlocr01, paytoga01, perkisa01, schrede01, stewala01",5,1997,SEA
C. Ehlo | G. Payton | S. Perkins | D. Schrempf | E. Snow SEA 1997,29.083333333333332,11.7,4.5,11.8,-0.009000000000000001,-2.9,7.7,-0.24600000000000002,-0.031,-5.1,-9.6,0.09,5.2,-0.8,-10.0,-0.8,-1.7,-4.5,-11.0,2.2,-4.1,-1.2,5.2,"ehlocr01, paytoga01, perkisa01, schrede01, snower01",5,1997,SEA
V. Baker | H. Hawkins | J. McIlvaine | G. Payton | D. Schrempf SEA 1998,958.95,8.1,1.7,-0.5,0.021,2.0,3.9,0.028999999999999998,0.032,2.7,3.8,-0.002,-2.4,-4.0,-0.7,-4.0,-1.4,-3.2,0.5,1.7,1.6,-3.7,-0.2,"bakervi01, hawkihe01, mcilvji01, paytoga01, schrede01",5,1998,SEA
V. Baker | H. Hawkins | G. Payton | S. Perkins | D. Schrempf SEA 1998,326.6666666666667,17.0,2.4,-0.2,0.028999999999999998,3.0,7.5,0.021,0.046,9.3,9.8,0.08900000000000001,-1.5,-3.6,-2.2,-3.6,-1.8,-3.8,0.5,3.5,-1.3,-5.9,-3.8,"bakervi01, hawkihe01, paytoga01, perkisa01, schrede01",5,1998,SEA
V. Baker | D. Ellis | H. Hawkins | G. Payton | D. Schrempf SEA 1998,246.48333333333332,14.7,2.0,-8.8,0.069,5.2,3.0,0.2,0.10400000000000001,5.5,6.7,0.016,-7.7,-11.1,0.6,-11.1,-3.9,-8.8,1.7,1.3,-0.4,-4.1,-1.8,"bakervi01, ellisda01, hawkihe01, paytoga01, schrede01",5,1998,SEA
V. Baker | H. Hawkins | G. Payton | D. Schrempf | A. Williams SEA 1998,135.46666666666667,15.0,4.2,1.7,0.04,0.9,1.8,0.017,0.044000000000000004,5.7,6.6,0.040999999999999995,-3.9,-5.6,1.0,-5.6,-1.3,-3.1,5.1,5.2,-1.7,-9.2,1.0,"bakervi01, hawkihe01, paytoga01, schrede01, williaa01",5,1998,SEA
V. Baker | H. Hawkins | J. Kersey | G. Payton | D. Schrempf SEA 1998,108.4,1.8,3.9,9.9,-0.006,1.8,1.7,0.113,0.004,-7.7,-1.7,-0.174,3.6,3.4,-2.5,3.4,0.5,1.1,4.5,4.3,1.9,-7.6,-0.2,"bakervi01, hawkihe01, kerseje01, paytoga01, schrede01",5,1998,SEA
V. Baker | D. Ellis | H. Hawkins | G. Payton | S. Perkins SEA 1998,108.31666666666666,-7.1,-3.9,-4.9,-0.018000000000000002,1.6,10.5,-0.159,-0.005,-0.9,-2.7,0.04,-10.1,-21.3,-5.3,-21.3,-8.0,-20.0,-1.2,3.5,-3.3,-4.2,-1.2,"bakervi01, ellisda01, hawkihe01, paytoga01, perkisa01",5,1998,SEA
V. Baker | D. Ellis | G. Payton | S. Perkins | D. Schrempf SEA 1998,101.86666666666666,27.9,2.2,-10.5,0.08199999999999999,5.7,13.6,-0.052000000000000005,0.122,17.9,21.4,0.14800000000000002,-7.9,-10.4,4.1,-10.4,-2.2,-4.9,5.2,6.2,-0.5,-10.1,-5.1,"bakervi01, ellisda01, paytoga01, perkisa01, schrede01",5,1998,SEA
D. Ellis | G. Payton | S. Perkins | A. Williams | D. Wingate SEA 1998,91.76666666666667,11.4,0.9,-4.6,0.036000000000000004,4.2,7.0,0.09,0.064,5.3,-1.2,0.23,-5.2,-6.7,3.3,-6.7,-0.6,-1.3,6.7,-1.1,2.7,-2.7,2.5,"ellisda01, paytoga01, perkisa01, williaa01, wingada01",5,1998,SEA
G. Anthony | V. Baker | D. Ellis | H. Hawkins | D. Schrempf SEA 1998,88.51666666666667,34.7,11.6,2.3,0.124,9.0,6.1,0.325,0.17600000000000002,2.5,-1.0,0.10800000000000001,1.9,11.3,10.6,11.3,6.3,14.5,8.5,1.7,1.8,-1.1,-1.5,"anthogr01, bakervi01, ellisda01, hawkihe01, schrede01",5,1998,SEA
V. Baker | D. Ellis | J. Kersey | G. Payton | S. Perkins SEA 1998,63.21666666666667,9.8,2.3,6.0,-0.005,0.4,1.6,-0.019,-0.006,4.8,13.4,-0.142,-1.5,-6.8,-5.3,-6.8,-3.8,-9.1,1.2,4.6,-3.9,-14.3,-2.9,"bakervi01, ellisda01, kerseje01, paytoga01, perkisa01",5,1998,SEA
