lineup,mp,diff_pts,diff_fg,diff_fga,diff_fg_pct,diff_fg3,diff_fg3a,diff_fg3_pct,diff_efg_pct,diff_ft,diff_fta,diff_ft_pct,diff_orb,diff_orb_pct,diff_drb,diff_drb_pct,diff_trb,diff_trb_pct,diff_ast,diff_stl,diff_blk,diff_tov,diff_pf,player_ids,number_players,year,team
N. Anderson | A. Hardaway | D. Scott | R. Seikaly ORL 1997,776.2166666666667,8.3,2.2,1.6,0.016,2.5,6.3,0.011000000000000001,0.03,1.3,1.7,0.003,0.0,-0.8,-1.2,-0.8,-0.6,-1.4,1.6,0.7,0.4,-2.3,-1.6,"anderni01, hardaan01, scottde01, seikaro01",4,1997,ORL
H. Grant | A. Hardaway | D. Scott | R. Seikaly ORL 1997,729.7666666666667,9.1,0.9,0.2,0.009000000000000001,3.0,6.2,0.033,0.026000000000000002,3.6,3.6,0.045,-0.8,-3.0,-2.6,-3.0,-1.8,-3.9,1.4,1.2,1.0,-2.4,-2.2,"grantho01, hardaan01, scottde01, seikaro01",4,1997,ORL
N. Anderson | H. Grant | A. Hardaway | R. Seikaly ORL 1997,691.8,10.5,2.0,0.0,0.023,3.2,6.0,0.043,0.040999999999999995,3.2,3.9,0.012,0.2,0.9,0.8,0.9,0.5,1.1,1.6,0.3,0.2,-1.3,-1.9,"anderni01, grantho01, hardaan01, seikaro01",4,1997,ORL
N. Anderson | H. Grant | A. Hardaway | D. Scott ORL 1997,671.25,10.3,3.1,2.6,0.021,3.4,8.1,0.017,0.039,0.3,0.8,-0.015,-0.3,-1.4,-1.4,-1.4,-0.9,-1.9,2.2,1.1,0.5,-2.8,-0.9,"anderni01, grantho01, hardaan01, scottde01",4,1997,ORL
N. Anderson | H. Grant | D. Scott | R. Seikaly ORL 1997,554.6833333333333,10.8,2.7,-0.1,0.03,3.4,6.6,0.04,0.049,2.0,3.1,-0.015,-1.1,-2.1,-0.6,-2.1,-0.9,-2.0,2.9,0.6,0.1,-2.2,-2.1,"anderni01, grantho01, scottde01, seikaro01",4,1997,ORL
H. Grant | R. Seikaly | B. Shaw | G. Wilkins ORL 1997,401.8833333333333,-17.9,-7.2,-3.5,-0.064,-0.6,2.7,-0.109,-0.066,-3.5,-3.3,-0.040999999999999995,-0.5,-2.5,-2.5,-2.5,-1.4,-3.2,-2.2,-4.1,-0.7,4.5,1.0,"grantho01, seikaro01, shawbr01, wilkige01",4,1997,ORL
R. Seikaly | B. Shaw | D. Strong | G. Wilkins ORL 1997,347.5,-21.4,-9.1,-6.7,-0.067,-2.0,-3.5,-0.042,-0.076,-1.2,-1.1,-0.012,-3.1,-8.2,-4.8,-8.2,-4.1,-9.1,-6.6,-3.0,-1.1,4.1,-0.6,"seikaro01, shawbr01, stronde01, wilkige01",4,1997,ORL
H. Grant | D. Scott | R. Seikaly | G. Wilkins ORL 1997,338.45,-14.0,-8.2,0.8,-0.099,0.5,5.8,-0.096,-0.096,1.8,1.5,0.028999999999999998,0.8,-5.6,-10.4,-5.6,-4.8,-10.7,-3.3,0.3,-1.8,-0.8,-0.3,"grantho01, scottde01, seikaro01, wilkige01",4,1997,ORL
D. Scott | R. Seikaly | B. Shaw | G. Wilkins ORL 1997,325.56666666666666,-21.1,-8.0,-4.7,-0.065,-1.1,0.9,-0.09300000000000001,-0.07,-4.0,-4.0,-0.05,-2.5,-8.3,-6.3,-8.3,-4.3,-9.6,-1.1,-4.7,-1.8,3.9,1.1,"scottde01, seikaro01, shawbr01, wilkige01",4,1997,ORL
N. Anderson | A. Hardaway | R. Seikaly | D. Strong ORL 1997,306.8833333333333,4.7,0.2,-0.7,0.006999999999999999,1.3,3.8,0.001,0.015,2.9,4.7,-0.026000000000000002,0.6,0.7,-0.3,0.7,0.1,0.2,-0.3,0.4,1.6,-1.1,-2.7,"anderni01, hardaan01, seikaro01, stronde01",4,1997,ORL
N. Anderson | A. Hardaway | D. Scott | D. Strong ORL 1997,287.81666666666666,5.6,3.1,6.7,0.001,1.3,6.7,-0.047,0.006,-2.8,-2.4,-0.04,1.3,-0.2,-4.0,-0.2,-1.3,-2.8,0.0,2.2,0.7,-4.1,-0.6,"anderni01, hardaan01, scottde01, stronde01",4,1997,ORL
