lineup,mp,diff_pts,diff_fg,diff_fga,diff_fg_pct,diff_fg3,diff_fg3a,diff_fg3_pct,diff_efg_pct,diff_ft,diff_fta,diff_ft_pct,diff_orb,diff_orb_pct,diff_drb,diff_drb_pct,diff_trb,diff_trb_pct,diff_ast,diff_stl,diff_blk,diff_tov,diff_pf,player_ids,number_players,year,team
N. Anderson | H. Grant | A. Hardaway | D. Scott | R. Seikaly ORL 1997,545.8333333333334,10.9,2.5,-0.2,0.028999999999999998,3.5,6.7,0.043,0.049,2.2,3.1,-0.002,-1.1,-2.0,-0.6,-2.0,-0.9,-1.9,2.7,0.6,0.3,-2.1,-2.0,"anderni01, grantho01, hardaan01, scottde01, seikaro01",5,1997,ORL
N. Anderson | A. Hardaway | D. Scott | R. Seikaly | D. Strong ORL 1997,187.1,5.5,2.3,4.3,0.004,-0.1,4.0,-0.079,0.002,0.9,1.7,-0.018000000000000002,1.3,0.5,-2.7,0.5,-0.8,-1.8,0.0,1.8,1.4,-4.1,-2.5,"anderni01, hardaan01, scottde01, seikaro01, stronde01",5,1997,ORL
H. Grant | D. Scott | R. Seikaly | B. Shaw | G. Wilkins ORL 1997,182.05,-17.7,-7.2,1.0,-0.087,0.4,5.2,-0.10300000000000001,-0.085,-3.7,-4.6,-0.005,2.4,0.1,-5.8,0.1,-1.5,-3.3,1.4,-4.5,-2.3,3.4,3.1,"grantho01, scottde01, seikaro01, shawbr01, wilkige01",5,1997,ORL
N. Anderson | R. Seikaly | B. Shaw | D. Strong | G. Wilkins ORL 1997,108.18333333333334,-12.6,-5.1,-3.8,-0.038,-0.1,-4.3,0.07200000000000001,-0.037000000000000005,-2.3,0.6,-0.106,-1.2,-5.3,-4.5,-5.3,-3.0,-7.1,-6.8,-1.8,1.1,2.2,0.0,"anderni01, seikaro01, shawbr01, stronde01, wilkige01",5,1997,ORL
H. Grant | A. Hardaway | D. Scott | R. Seikaly | G. Wilkins ORL 1997,104.48333333333333,-10.2,-7.8,2.6,-0.106,-0.5,5.5,-0.125,-0.111,6.0,5.9,0.055999999999999994,0.4,-13.5,-18.1,-13.5,-8.9,-21.0,-5.2,6.6,-1.0,-4.6,-3.3,"grantho01, hardaan01, scottde01, seikaro01, wilkige01",5,1997,ORL
N. Anderson | H. Grant | R. Seikaly | B. Shaw | G. Wilkins ORL 1997,96.15,-11.2,-8.1,-11.7,-0.032,0.5,5.5,-0.14300000000000002,-0.024,4.4,7.2,-0.040999999999999995,-0.6,2.3,4.1,2.3,1.7,4.0,-2.4,-6.1,0.0,7.7,-2.0,"anderni01, grantho01, seikaro01, shawbr01, wilkige01",5,1997,ORL
D. Scott | R. Seikaly | B. Shaw | D. Strong | G. Wilkins ORL 1997,95.95,-27.2,-8.9,-12.1,-0.037000000000000005,-5.4,-9.8,-0.187,-0.063,-4.1,-4.2,-0.038,-8.2,-16.6,-7.4,-16.6,-7.9,-16.8,-0.1,-3.2,-1.6,6.0,-2.1,"scottde01, seikaro01, shawbr01, stronde01, wilkige01",5,1997,ORL
N. Anderson | H. Grant | A. Hardaway | R. Seikaly | B. Shaw ORL 1997,78.11666666666666,2.7,-2.4,-2.8,-0.013999999999999999,0.7,4.8,-0.03,-0.008,6.8,5.6,0.067,0.8,4.6,4.5,4.6,2.7,6.1,-3.8,-2.7,-0.7,0.8,-2.3,"anderni01, grantho01, hardaan01, seikaro01, shawbr01",5,1997,ORL
H. Grant | A. Hardaway | D. Scott | D. Strong | G. Wilkins ORL 1997,77.66666666666667,23.5,6.8,-0.7,0.078,3.3,-3.1,0.21600000000000003,0.09699999999999999,6.6,4.7,0.157,-6.4,-11.6,-2.8,-11.6,-4.6,-9.9,2.1,7.8,-2.0,-9.7,1.3,"grantho01, hardaan01, scottde01, stronde01, wilkige01",5,1997,ORL
H. Grant | A. Hardaway | D. Scott | R. Seikaly | B. Shaw ORL 1997,76.48333333333333,19.2,0.4,-0.2,0.006,5.2,3.6,0.157,0.034,7.6,2.2,0.257,-0.9,0.5,2.5,0.5,0.4,0.7,3.5,-1.7,8.8,-1.5,-1.1,"grantho01, hardaan01, scottde01, seikaro01, shawbr01",5,1997,ORL
N. Anderson | A. Hardaway | R. Seikaly | B. Shaw | D. Strong ORL 1997,65.16666666666667,2.3,-1.2,-10.7,0.046,1.6,3.2,0.019,0.06,3.2,9.3,-0.124,-8.2,-15.6,-4.0,-15.6,-6.0,-13.3,-2.8,1.4,3.0,-1.4,-5.3,"anderni01, hardaan01, seikaro01, shawbr01, stronde01",5,1997,ORL
N. Anderson | H. Grant | A. Hardaway | D. Scott | D. Strong ORL 1997,60.06666666666667,16.8,9.7,15.2,0.036000000000000004,4.0,16.7,-0.08800000000000001,0.05,-11.4,-7.4,-0.248,1.4,-0.7,-4.9,-0.7,-1.4,-3.0,-1.8,6.2,3.5,-9.6,5.1,"anderni01, grantho01, hardaan01, scottde01, stronde01",5,1997,ORL
N. Anderson | H. Grant | B. Shaw | D. Strong | G. Wilkins ORL 1997,51.63333333333333,23.3,9.0,8.9,0.055,4.5,1.1,0.16,0.076,0.8,7.5,-0.147,6.7,11.2,0.6,11.2,4.2,8.9,12.6,2.8,-6.6,-5.8,-1.0,"anderni01, grantho01, shawbr01, stronde01, wilkige01",5,1997,ORL
N. Anderson | A. Hardaway | D. Schayes | D. Strong | G. Wilkins ORL 1997,51.5,13.6,1.4,-1.2,0.023,3.2,0.2,0.15,0.042,7.6,8.7,0.042,-7.2,-12.9,-4.5,-12.9,-5.8,-11.8,-1.9,6.2,-2.1,-11.3,-1.6,"anderni01, hardaan01, schayda01, stronde01, wilkige01",5,1997,ORL
D. Armstrong | H. Grant | R. Seikaly | D. Strong | G. Wilkins ORL 1997,50.96666666666667,-7.6,-2.8,-13.6,0.028999999999999998,-0.4,1.7,-0.055999999999999994,0.031,-1.5,4.3,-0.196,-2.3,1.4,6.9,1.4,1.6,3.4,-10.0,-2.4,0.5,10.0,-10.0,"armstda01, grantho01, seikaro01, stronde01, wilkige01",5,1997,ORL
H. Grant | R. Seikaly | B. Shaw | D. Strong | G. Wilkins ORL 1997,49.63333333333333,-17.9,-6.6,-4.7,-0.051,-3.4,-6.0,-0.135,-0.069,-1.3,1.5,-0.095,-6.4,-8.5,-0.1,-8.5,-3.7,-7.5,-3.8,-1.5,-4.7,-3.1,0.0,"grantho01, seikaro01, shawbr01, stronde01, wilkige01",5,1997,ORL
N. Anderson | H. Grant | A. Hardaway | B. Shaw | D. Vaughn ORL 1997,48.38333333333333,5.8,3.7,15.1,-0.025,-1.2,3.9,-0.109,-0.034,-0.3,1.3,-0.047,5.9,5.0,-3.7,5.0,0.5,1.0,3.5,9.2,-5.4,-10.5,-3.1,"anderni01, grantho01, hardaan01, shawbr01, vaughda02",5,1997,ORL
D. Armstrong | H. Grant | D. Scott | R. Seikaly | G. Wilkins ORL 1997,46.333333333333336,-13.7,-12.0,-0.2,-0.142,2.1,8.6,-0.022000000000000002,-0.129,8.3,7.7,0.09699999999999999,-3.2,-13.1,-11.4,-13.1,-7.8,-17.8,-17.2,4.1,-4.6,-8.1,-4.2,"armstda01, grantho01, scottde01, seikaro01, wilkige01",5,1997,ORL
A. Hardaway | R. Seikaly | B. Shaw | D. Strong | G. Wilkins ORL 1997,45.65,-37.8,-21.1,-4.8,-0.19899999999999998,-4.9,1.0,-0.248,-0.223,9.4,-0.4,0.308,5.8,8.6,1.6,8.6,3.6,7.5,-24.6,-4.8,0.0,10.8,4.8,"hardaan01, seikaro01, shawbr01, stronde01, wilkige01",5,1997,ORL
N. Anderson | D. Armstrong | H. Grant | R. Seikaly | G. Wilkins ORL 1997,45.61666666666667,8.7,3.1,8.1,-0.003,8.3,17.0,0.17,0.042,-5.8,-12.8,0.061,-4.6,-6.8,-2.5,-6.8,-3.9,-7.2,3.5,4.4,0.5,-7.5,-2.2,"anderni01, armstda01, grantho01, seikaro01, wilkige01",5,1997,ORL
N. Anderson | H. Grant | D. Harper | B. Outlaw | D. Schayes ORL 1998,284.73333333333335,6.8,-0.4,-1.8,0.004,0.6,-1.7,0.08199999999999999,0.008,7.1,10.6,-0.025,2.8,6.3,3.4,6.3,3.1,6.6,-0.7,-1.2,1.0,0.2,-3.7,"anderni01, grantho01, harpede01, outlabo01, schayda01",5,1998,ORL
D. Armstrong | H. Grant | D. Harper | B. Outlaw | R. Seikaly ORL 1998,210.93333333333334,4.3,-1.0,-7.2,0.026000000000000002,-1.1,-6.0,0.099,0.022000000000000002,7.4,9.1,0.017,-3.5,-0.7,5.2,-0.7,0.8,1.8,-0.6,-1.1,-0.2,-0.7,-3.9,"armstda01, grantho01, harpede01, outlabo01, seikaro01",5,1998,ORL
N. Anderson | H. Grant | D. Harper | B. Outlaw | D. Strong ORL 1998,176.15,14.8,2.9,-1.0,0.038,-2.1,0.5,-0.145,0.026000000000000002,11.0,18.8,-0.09300000000000001,1.1,1.7,0.2,1.7,0.8,1.6,4.3,-0.7,-1.3,-4.4,-3.1,"anderni01, grantho01, harpede01, outlabo01, stronde01",5,1998,ORL
H. Grant | D. Harper | B. Outlaw | D. Schayes | G. Wilkins ORL 1998,109.96666666666667,4.4,3.0,7.0,0.001,-1.1,-3.0,-0.027000000000000003,-0.006999999999999999,-0.4,-2.7,0.079,2.6,0.1,-4.7,0.1,-1.3,-2.6,1.7,-2.9,3.4,-3.7,-2.6,"grantho01, harpede01, outlabo01, schayda01, wilkige01",5,1998,ORL
H. Grant | B. Outlaw | M. Price | R. Seikaly | G. Wilkins ORL 1998,109.06666666666666,-0.6,-2.2,-1.4,-0.016,2.4,0.8,0.17600000000000002,-0.003,1.3,1.7,-0.006,4.2,7.0,1.4,7.0,2.7,5.9,-2.3,-3.9,3.1,4.7,0.2,"grantho01, outlabo01, pricema01, seikaro01, wilkige01",5,1998,ORL
N. Anderson | H. Grant | B. Outlaw | M. Price | D. Strong ORL 1998,107.86666666666666,-4.2,-1.4,-6.3,0.013999999999999999,1.3,-3.1,0.14,0.024,-2.6,-1.4,-0.065,-1.6,0.9,4.1,0.9,1.0,2.1,1.1,-4.2,1.7,6.0,-2.0,"anderni01, grantho01, outlabo01, pricema01, stronde01",5,1998,ORL
A. Hardaway | B. Outlaw | M. Price | R. Seikaly | D. Strong ORL 1998,98.88333333333334,-4.3,-6.4,-12.1,-0.013000000000000001,-1.3,-2.0,-0.028999999999999998,-0.016,9.7,12.8,-0.049,-6.4,-10.6,-0.4,-10.6,-3.7,-8.8,4.9,-0.6,1.3,0.4,-4.0,"hardaan01, outlabo01, pricema01, seikaro01, stronde01",5,1998,ORL
N. Anderson | H. Grant | B. Outlaw | M. Price | R. Seikaly ORL 1998,80.28333333333333,7.9,2.5,-10.7,0.081,-3.0,-2.9,-0.2,0.066,5.8,9.6,-0.057999999999999996,-1.6,2.0,6.8,2.0,2.8,6.0,7.8,-7.0,0.5,5.2,-1.8,"anderni01, grantho01, outlabo01, pricema01, seikaro01",5,1998,ORL
H. Grant | D. Harper | B. Outlaw | M. Price | R. Seikaly ORL 1998,72.66666666666667,27.4,1.6,-20.3,0.11699999999999999,3.3,4.3,0.13699999999999998,0.141,20.8,22.6,0.193,-8.6,-8.1,5.0,-8.1,-1.5,-3.2,0.2,-0.3,6.7,1.3,-4.2,"grantho01, harpede01, outlabo01, pricema01, seikaro01",5,1998,ORL
N. Anderson | H. Grant | A. Hardaway | M. Price | R. Seikaly ORL 1998,59.7,-15.0,-7.6,-7.9,-0.044000000000000004,-2.9,2.0,-0.44299999999999995,-0.059000000000000004,3.0,6.8,-0.07400000000000001,-1.9,-1.9,1.7,-1.9,-0.9,-1.9,-19.4,3.0,4.7,2.6,-1.3,"anderni01, grantho01, hardaan01, pricema01, seikaro01",5,1998,ORL
N. Anderson | D. Armstrong | H. Grant | B. Outlaw | R. Seikaly ORL 1998,58.416666666666664,1.8,-4.1,-5.9,-0.015,3.0,-1.5,0.35,0.002,6.9,10.0,0.1,-0.3,-3.2,-4.1,-3.2,-1.9,-3.8,4.8,-2.3,-1.2,0.6,-4.7,"anderni01, armstda01, grantho01, outlabo01, seikaro01",5,1998,ORL
