lineup,mp,diff_pts,diff_fg,diff_fga,diff_fg_pct,diff_fg3,diff_fg3a,diff_fg3_pct,diff_efg_pct,diff_ft,diff_fta,diff_ft_pct,diff_orb,diff_orb_pct,diff_drb,diff_drb_pct,diff_trb,diff_trb_pct,diff_ast,diff_stl,diff_blk,diff_tov,diff_pf,player_ids,number_players,year,team
D. Coleman | A. Iverson | J. Stackhouse | C. Weatherspoon | S. Williams PHI 1997,707.9166666666666,-1.5,-2.4,-3.3,-0.01,-2.2,-4.0,-0.045,-0.021,5.4,7.3,-0.005,4.5,9.3,4.0,9.3,4.1,8.9,-4.0,-2.3,-0.1,4.2,-2.6,"colemde01, iversal01, stackje01, weathcl01, willisc01",5,1997,PHI
M. Cage | M. Davis | A. Iverson | J. Stackhouse | C. Weatherspoon PHI 1997,199.01666666666668,-23.3,-12.0,-4.5,-0.113,-1.4,-2.4,-0.034,-0.11900000000000001,2.1,6.6,-0.11699999999999999,0.2,-6.4,-9.2,-6.4,-4.5,-9.7,-7.8,-3.8,-4.7,1.9,-3.4,"cagemi01, davisma02, iversal01, stackje01, weathcl01",5,1997,PHI
M. Cage | A. Iverson | J. Stackhouse | R. Walters | C. Weatherspoon PHI 1997,185.58333333333334,-10.1,-5.3,-5.5,-0.031,-1.3,-0.8,-0.055999999999999994,-0.037000000000000005,2.0,3.6,-0.032,-2.1,-3.1,0.5,-3.1,-0.8,-1.8,-7.3,-0.8,-2.5,1.4,-2.2,"cagemi01, iversal01, stackje01, waltere01, weathcl01",5,1997,PHI
M. Cage | D. Coleman | A. Iverson | J. Stackhouse | C. Weatherspoon PHI 1997,141.58333333333334,-17.3,-10.3,-3.3,-0.094,-1.0,-1.9,-0.027000000000000003,-0.098,4.3,6.2,-0.006,4.2,0.8,-6.3,0.8,-0.9,-1.8,-5.6,-4.7,-1.6,3.8,-2.1,"cagemi01, colemde01, iversal01, stackje01, weathcl01",5,1997,PHI
D. Coleman | M. Davis | A. Iverson | J. Stackhouse | C. Weatherspoon PHI 1997,139.4,-13.1,-4.6,-6.0,-0.023,-2.7,-3.3,-0.08,-0.036000000000000004,-1.2,-1.5,-0.002,-2.0,-3.7,-1.2,-3.7,-1.6,-3.3,-0.5,-2.5,-0.7,4.6,1.6,"colemde01, davisma02, iversal01, stackje01, weathcl01",5,1997,PHI
M. Davis | A. Iverson | J. Stackhouse | C. Weatherspoon | S. Williams PHI 1997,92.25,-2.1,0.3,-2.1,0.015,-5.6,-11.1,-0.071,-0.015,3.0,3.5,0.035,0.3,-3.7,-5.4,-3.7,-2.2,-4.9,1.0,-0.6,-3.0,1.4,-3.3,"davisma02, iversal01, stackje01, weathcl01, willisc01",5,1997,PHI
D. Coleman | M. Davis | A. Iverson | J. Stackhouse | S. Williams PHI 1997,62.483333333333334,-28.4,-8.9,5.4,-0.122,2.5,10.7,-0.008,-0.111,-13.1,-13.0,-0.10800000000000001,0.3,-8.2,-10.0,-8.2,-4.8,-9.7,-2.0,-0.9,-4.9,1.0,2.8,"colemde01, davisma02, iversal01, stackje01, willisc01",5,1997,PHI
M. Cage | D. Coleman | M. Davis | A. Iverson | J. Stackhouse PHI 1997,55.11666666666667,6.9,-1.5,-9.3,0.033,6.0,-1.2,0.312,0.075,3.9,10.8,-0.12,-2.0,-1.9,1.3,-1.9,-0.4,-1.1,-4.7,-0.7,-1.6,2.3,-7.5,"cagemi01, colemde01, davisma02, iversal01, stackje01",5,1997,PHI
D. Coleman | D. Overton | J. Stackhouse | C. Weatherspoon | S. Williams PHI 1997,54.4,-3.8,-2.3,-19.5,0.063,-3.9,-6.7,-0.067,0.051,4.6,6.8,-0.027000000000000003,-9.8,-8.0,5.5,-8.0,-2.0,-4.0,-6.6,-3.2,4.0,9.4,-3.1,"colemde01, overtdo01, stackje01, weathcl01, willisc01",5,1997,PHI
D. Coleman | A. Iverson | D. MacLean | J. Stackhouse | C. Weatherspoon PHI 1997,49.36666666666667,11.5,4.8,1.8,0.049,-1.1,-7.7,0.071,0.042,3.1,18.0,-0.247,3.4,2.3,-2.9,2.3,0.0,0.0,1.4,5.6,4.4,-5.9,-9.3,"colemde01, iversal01, macledo01, stackje01, weathcl01",5,1997,PHI
D. Coleman | J. Stackhouse | R. Walters | C. Weatherspoon | S. Williams PHI 1997,49.333333333333336,-23.3,-12.0,-7.9,-0.10300000000000001,-1.9,0.5,-0.095,-0.11,2.5,3.8,-0.005,4.5,6.0,-2.7,6.0,1.1,2.7,-9.0,-4.4,2.0,10.0,1.6,"colemde01, stackje01, waltere01, weathcl01, willisc01",5,1997,PHI
A. Caldwell | M. Davis | A. Iverson | J. Stackhouse | C. Weatherspoon PHI 1997,48.71666666666667,15.3,11.1,-9.1,0.168,-0.8,2.5,-0.102,0.168,-6.2,-4.9,-0.07400000000000001,-14.2,-13.1,5.1,-13.1,-4.4,-9.5,0.6,-1.2,-1.1,-1.6,2.0,"caldwad01, davisma02, iversal01, stackje01, weathcl01",5,1997,PHI
D. Coleman | A. Iverson | J. Stackhouse | R. Walters | C. Weatherspoon PHI 1997,42.71666666666667,-10.8,-3.3,0.5,-0.04,-2.3,-6.0,-0.047,-0.054000000000000006,-2.0,0.0,-0.057,2.8,2.2,-4.2,2.2,-1.1,-2.1,-6.0,0.3,-5.2,2.9,-1.1,"colemde01, iversal01, stackje01, waltere01, weathcl01",5,1997,PHI
