lineup,mp,diff_pts,diff_fg,diff_fga,diff_fg_pct,diff_fg3,diff_fg3a,diff_fg3_pct,diff_efg_pct,diff_ft,diff_fta,diff_ft_pct,diff_orb,diff_orb_pct,diff_drb,diff_drb_pct,diff_trb,diff_trb_pct,diff_ast,diff_stl,diff_blk,diff_tov,diff_pf,player_ids,number_players,year,team
K. Anderson | I. Rider | C. Robinson | A. Sabonis POR 1997,1053.1333333333334,7.8,3.6,0.3,0.04,1.2,3.9,-0.021,0.047,-0.9,-0.3,-0.025,0.0,2.4,3.6,2.4,1.6,3.8,2.4,-0.2,-0.1,0.0,0.5,"anderke01, rideris01, robincl02, sabonar01",4,1997,POR
K. Anderson | I. Rider | C. Robinson | R. Wallace POR 1997,1000.75,5.3,2.5,1.2,0.023,0.9,4.3,-0.039,0.027999999999999997,-1.0,1.9,-0.08800000000000001,1.9,4.4,2.1,4.4,1.9,4.4,0.6,0.2,0.7,-0.1,0.5,"anderke01, rideris01, robincl02, wallara01",4,1997,POR
K. Anderson | C. Robinson | A. Sabonis | R. Wallace POR 1997,914.4333333333333,8.8,2.7,-1.7,0.040999999999999995,1.3,4.7,-0.028999999999999998,0.049,1.5,4.2,-0.061,-0.3,1.5,3.4,1.5,1.3,2.9,1.5,0.5,1.0,-0.5,-0.8,"anderke01, robincl02, sabonar01, wallara01",4,1997,POR
K. Anderson | I. Rider | C. Robinson | G. Trent POR 1997,719.15,1.1,1.6,2.1,0.006999999999999999,1.6,1.9,0.053,0.015,-3.8,-5.0,-0.003,2.1,5.1,2.3,5.1,2.1,5.0,-1.5,-1.2,-1.0,2.0,0.7,"anderke01, rideris01, robincl02, trentga01",4,1997,POR
K. Anderson | I. Rider | A. Sabonis | R. Wallace POR 1997,717.2333333333333,6.1,2.4,-1.5,0.036000000000000004,1.1,4.9,-0.05,0.043,-0.3,2.4,-0.084,-0.1,1.8,3.2,1.8,1.3,2.9,2.0,-0.8,0.9,0.4,-0.2,"anderke01, rideris01, sabonar01, wallara01",4,1997,POR
I. Rider | C. Robinson | A. Sabonis | R. Wallace POR 1997,714.7,6.5,2.3,-2.6,0.042,1.5,4.5,-0.016,0.052000000000000005,-0.2,2.5,-0.08199999999999999,-0.9,0.5,3.3,0.5,0.9,2.2,1.4,-0.5,0.3,0.8,-0.3,"rideris01, robincl02, sabonar01, wallara01",4,1997,POR
K. Anderson | C. Dudley | I. Rider | C. Robinson POR 1997,638.5333333333333,-3.7,-2.0,2.0,-0.034,0.6,4.6,-0.057,-0.031,-0.3,2.5,-0.068,5.2,8.4,0.4,8.4,3.0,6.8,-3.4,-1.1,-0.4,2.0,0.9,"anderke01, dudlech02, rideris01, robincl02",4,1997,POR
K. Anderson | C. Dudley | C. Robinson | G. Trent POR 1997,488.46666666666664,-3.5,-1.0,1.1,-0.018000000000000002,1.3,2.8,0.013999999999999999,-0.011000000000000001,-2.7,-0.2,-0.083,3.3,6.3,1.2,6.3,2.2,5.2,-3.7,-0.5,-0.4,1.9,-1.2,"anderke01, dudlech02, robincl02, trentga01",4,1997,POR
K. Anderson | C. Dudley | I. Rider | G. Trent POR 1997,438.78333333333336,-7.2,-2.8,-1.2,-0.026000000000000002,0.8,0.6,0.036000000000000004,-0.021,-2.4,-2.3,-0.027999999999999997,2.5,5.1,1.1,5.1,1.9,4.7,-5.2,-3.3,-1.6,4.8,0.4,"anderke01, dudlech02, rideris01, trentga01",4,1997,POR
C. Dudley | I. Rider | C. Robinson | G. Trent POR 1997,401.0,-12.0,-3.2,-0.6,-0.034,0.6,2.6,-0.032,-0.03,-6.1,-5.4,-0.084,3.6,7.0,1.2,7.0,2.5,6.0,-5.2,-3.9,-1.1,6.8,0.5,"dudlech02, rideris01, robincl02, trentga01",4,1997,POR
K. Anderson | I. Rider | A. Sabonis | G. Trent POR 1997,367.0833333333333,12.9,5.8,0.9,0.062,2.0,1.8,0.08,0.073,-0.6,-3.0,0.063,0.2,4.4,5.7,4.4,2.8,6.7,4.4,-1.0,0.2,-0.1,1.5,"anderke01, rideris01, sabonar01, trentga01",4,1997,POR
