lineup,mp,diff_pts,diff_fg,diff_fga,diff_fg_pct,diff_fg3,diff_fg3a,diff_fg3_pct,diff_efg_pct,diff_ft,diff_fta,diff_ft_pct,diff_orb,diff_orb_pct,diff_drb,diff_drb_pct,diff_trb,diff_trb_pct,diff_ast,diff_stl,diff_blk,diff_tov,diff_pf,player_ids,number_players,year,team
M. Abdul-Rauf | B. Owens | O. Polynice | M. Richmond | M. Smith SAC 1997,460.25,-0.4,3.4,2.3,0.027000000000000003,1.4,1.6,0.045,0.034,-8.7,-10.3,-0.052000000000000005,-1.1,-1.2,0.8,-1.2,-0.3,-0.6,2.4,-1.7,-0.5,1.7,1.0,"abdulma02, owensbi01, polynol01, richmmi01, smithmi02",5,1997,SAC
T. Edney | B. Owens | O. Polynice | M. Richmond | M. Smith SAC 1997,327.6,7.4,1.1,-2.4,0.025,-0.7,-8.2,0.163,0.022000000000000002,5.9,7.5,0.002,3.3,9.2,6.0,9.2,4.5,9.8,0.4,-0.4,-1.0,1.4,-2.4,"edneyty01, owensbi01, polynol01, richmmi01, smithmi02",5,1997,SAC
M. Abdul-Rauf | O. Polynice | M. Richmond | M. Smith | C. Williamson SAC 1997,304.06666666666666,-10.5,-4.9,-0.9,-0.05,0.1,-1.6,0.052000000000000005,-0.049,-0.8,-0.2,-0.027000000000000003,1.5,1.3,-1.5,1.3,-0.1,-0.2,-2.8,-1.6,-4.4,2.7,0.0,"abdulma02, polynol01, richmmi01, smithmi02, willico02",5,1997,SAC
M. Abdul-Rauf | B. Owens | O. Polynice | M. Richmond | C. Williamson SAC 1997,189.4,-11.4,-3.7,-2.4,-0.028999999999999998,-0.8,-0.9,-0.032,-0.032,-3.1,-7.1,0.083,-2.9,-7.8,-4.4,-7.8,-4.0,-9.2,-4.0,-0.5,-2.1,1.1,-0.3,"abdulma02, owensbi01, polynol01, richmmi01, willico02",5,1997,SAC
M. Abdul-Rauf | D. Causwell | B. Owens | O. Polynice | M. Richmond SAC 1997,96.7,-24.6,-8.7,0.2,-0.09699999999999999,-1.2,-1.4,-0.048,-0.10300000000000001,-6.0,-3.2,-0.184,0.9,-2.4,-6.3,-2.4,-2.8,-6.1,-10.7,-2.7,-1.0,2.0,1.1,"abdulma02, causwdu01, owensbi01, polynol01, richmmi01",5,1997,SAC
B. Grant | B. Hurley | B. Owens | O. Polynice | M. Richmond SAC 1997,91.58333333333333,-4.0,1.2,-2.1,0.026000000000000002,-4.0,-9.1,0.006999999999999999,0.004,-2.4,-1.4,-0.057,-3.0,-2.9,2.0,-2.9,-0.6,-1.3,8.6,0.7,-1.6,0.9,2.0,"grantbr01, hurlebo01, owensbi01, polynol01, richmmi01",5,1997,SAC
T. Edney | O. Polynice | M. Richmond | M. Smith | C. Williamson SAC 1997,88.68333333333334,4.6,2.7,-3.1,0.054000000000000006,-1.7,-5.1,0.068,0.045,0.8,5.5,-0.132,3.6,9.4,4.3,9.4,4.0,10.1,0.8,-0.1,0.0,3.7,-1.4,"edneyty01, polynol01, richmmi01, smithmi02, willico02",5,1997,SAC
M. Abdul-Rauf | B. Grant | O. Polynice | M. Richmond | C. Williamson SAC 1997,87.76666666666667,5.2,3.4,-6.6,0.077,-4.1,-14.5,0.004,0.054000000000000006,2.5,5.0,-0.028999999999999998,-1.6,2.9,8.4,2.9,3.5,8.0,6.1,-5.4,-0.6,3.7,-0.3,"abdulma02, grantbr01, polynol01, richmmi01, willico02",5,1997,SAC
M. Abdul-Rauf | K. Gamble | O. Polynice | M. Richmond | M. Smith SAC 1997,73.73333333333333,13.6,4.2,3.7,0.031,1.8,2.1,0.052000000000000005,0.04,3.5,-2.5,0.214,-0.5,6.0,9.8,6.0,4.3,10.9,1.9,-0.2,-1.9,-3.0,2.1,"abdulma02, gamblke01, polynol01, richmmi01, smithmi02",5,1997,SAC
B. Hurley | B. Owens | O. Polynice | M. Richmond | M. Smith SAC 1997,57.21666666666667,14.7,8.4,-4.4,0.114,0.9,3.5,-0.026000000000000002,0.11900000000000001,-3.0,-8.6,0.102,-7.6,-1.9,10.6,-1.9,1.4,2.6,7.9,0.1,-1.7,0.6,0.5,"hurlebo01, owensbi01, polynol01, richmmi01, smithmi02",5,1997,SAC
M. Abdul-Rauf | K. Gamble | O. Polynice | M. Richmond | C. Williamson SAC 1997,50.71666666666667,-0.1,5.6,3.7,0.047,0.6,0.9,0.015,0.049,-12.0,-25.1,0.244,3.3,12.5,15.8,12.5,8.7,18.0,-3.0,-3.7,1.3,9.2,2.9,"abdulma02, gamblke01, polynol01, richmmi01, willico02",5,1997,SAC
