lineup,mp,diff_pts,diff_fg,diff_fga,diff_fg_pct,diff_fg3,diff_fg3a,diff_fg3_pct,diff_efg_pct,diff_ft,diff_fta,diff_ft_pct,diff_orb,diff_orb_pct,diff_drb,diff_drb_pct,diff_trb,diff_trb_pct,diff_ast,diff_stl,diff_blk,diff_tov,diff_pf,player_ids,number_players,year,team
D. Christie | P. Jones | D. Stoudamire | W. Williams TOR 1997,1198.7833333333333,1.3,-1.5,2.3,-0.028999999999999998,3.8,7.5,0.05,-0.008,0.3,-0.1,0.013999999999999999,2.1,3.2,0.0,3.2,0.9,2.1,-3.9,1.5,0.8,-0.5,-0.5,"chrisdo01, jonespo01, stoudda01, williwa02",4,1997,TOR
M. Camby | D. Christie | D. Stoudamire | W. Williams TOR 1997,838.6333333333333,0.3,-0.1,2.3,-0.013999999999999999,1.2,4.0,-0.013000000000000001,-0.008,-1.2,-1.2,-0.009000000000000001,0.9,0.9,-0.7,0.9,0.0,-0.1,-2.1,2.9,3.5,-1.1,-0.8,"cambyma01, chrisdo01, stoudda01, williwa02",4,1997,TOR
M. Camby | D. Christie | P. Jones | D. Stoudamire TOR 1997,536.2666666666667,4.1,1.5,4.4,-0.006,1.9,3.6,0.032,0.002,-0.7,-1.5,0.015,2.7,4.8,1.0,4.8,1.7,3.8,-0.8,2.3,1.5,-0.5,-1.3,"cambyma01, chrisdo01, jonespo01, stoudda01",4,1997,TOR
D. Christie | P. Jones | D. Stoudamire | S. Wright TOR 1997,522.95,-6.5,-0.6,5.9,-0.036000000000000004,2.4,4.5,0.035,-0.026000000000000002,-7.6,-9.8,-0.031,2.5,3.4,-0.4,3.4,1.0,2.1,-5.2,-1.2,-1.6,0.8,2.8,"chrisdo01, jonespo01, stoudda01, wrighsh01",4,1997,TOR
M. Camby | P. Jones | D. Stoudamire | W. Williams TOR 1997,475.6166666666667,3.8,0.2,3.5,-0.017,1.6,5.2,-0.013999999999999999,-0.009000000000000001,0.9,0.8,0.013999999999999999,1.1,2.4,0.9,2.4,0.9,2.1,-1.4,4.1,3.0,-2.5,-1.0,"cambyma01, jonespo01, stoudda01, williwa02",4,1997,TOR
D. Christie | D. Stoudamire | W. Williams | S. Wright TOR 1997,437.85,-10.3,-4.3,1.7,-0.055999999999999994,1.9,6.3,-0.015,-0.046,-3.6,-4.7,-0.013999999999999999,1.3,0.2,-2.3,0.2,-0.6,-1.2,-6.0,-0.4,-0.4,1.4,0.7,"chrisdo01, stoudda01, williwa02, wrighsh01",4,1997,TOR
D. Christie | P. Jones | W. Williams | S. Wright TOR 1997,404.6166666666667,-6.2,-2.2,3.0,-0.04,2.1,4.6,0.019,-0.028999999999999998,-3.9,-5.6,0.005,0.8,0.1,-1.4,0.1,-0.5,-1.2,-6.0,-0.1,-1.0,0.0,0.5,"chrisdo01, jonespo01, williwa02, wrighsh01",4,1997,TOR
P. Jones | D. Stoudamire | W. Williams | S. Wright TOR 1997,390.96666666666664,-9.7,-3.3,3.3,-0.052000000000000005,1.8,6.1,-0.025,-0.044000000000000004,-4.8,-6.0,-0.032,1.9,1.4,-1.7,1.4,-0.1,-0.2,-6.9,-1.4,-1.0,1.2,0.8,"jonespo01, stoudda01, williwa02, wrighsh01",4,1997,TOR
M. Camby | D. Christie | C. Rozier | D. Stoudamire TOR 1997,381.0833333333333,-3.4,-1.1,3.3,-0.028999999999999998,0.0,-0.8,0.016,-0.031,-1.2,0.3,-0.063,2.2,1.1,-3.6,1.1,-0.7,-1.5,-2.5,2.6,1.9,-1.0,0.6,"cambyma01, chrisdo01, roziecl01, stoudda01",4,1997,TOR
M. Camby | D. Christie | P. Jones | W. Williams TOR 1997,379.68333333333334,5.9,1.6,4.4,-0.005,2.1,5.8,0.002,0.005,0.5,-1.3,0.057999999999999996,1.4,3.5,1.8,3.5,1.5,3.3,-1.7,4.4,2.7,-1.9,-1.5,"cambyma01, chrisdo01, jonespo01, williwa02",4,1997,TOR
D. Christie | P. Jones | C. Rogers | D. Stoudamire TOR 1997,371.25,-3.8,-3.8,0.9,-0.049,1.4,4.4,-0.006999999999999999,-0.040999999999999995,1.9,3.9,-0.035,3.0,3.1,-2.0,3.1,0.6,1.2,-4.5,-0.6,0.4,0.0,-1.9,"chrisdo01, jonespo01, rogerca01, stoudda01",4,1997,TOR
