lineup,mp,diff_pts,diff_fg,diff_fga,diff_fg_pct,diff_fg3,diff_fg3a,diff_fg3_pct,diff_efg_pct,diff_ft,diff_fta,diff_ft_pct,diff_orb,diff_orb_pct,diff_drb,diff_drb_pct,diff_trb,diff_trb_pct,diff_ast,diff_stl,diff_blk,diff_tov,diff_pf,player_ids,number_players,year,team
D. Christie | P. Jones | D. Stoudamire | W. Williams | S. Wright TOR 1997,352.43333333333334,-7.5,-3.1,3.2,-0.05,2.6,6.3,0.013000000000000001,-0.037000000000000005,-3.9,-5.5,-0.003,1.9,1.9,-1.1,1.9,0.2,0.5,-6.5,-0.9,-1.3,0.9,0.9,"chrisdo01, jonespo01, stoudda01, williwa02, wrighsh01",5,1997,TOR
M. Camby | D. Christie | P. Jones | D. Stoudamire | W. Williams TOR 1997,325.81666666666666,5.5,0.4,3.3,-0.013000000000000001,2.9,7.9,0.005,0.002,1.7,1.1,0.034,2.0,4.1,1.5,4.1,1.6,3.5,-2.9,4.8,3.8,-1.8,-2.0,"cambyma01, chrisdo01, jonespo01, stoudda01, williwa02",5,1997,TOR
M. Camby | D. Christie | C. Rozier | D. Stoudamire | W. Williams TOR 1997,270.6166666666667,-0.6,-0.1,2.0,-0.011000000000000001,-0.1,0.1,-0.004,-0.013000000000000001,-0.5,2.0,-0.08,0.3,-1.3,-2.8,-1.3,-1.3,-2.7,-1.9,3.4,1.6,-2.8,0.7,"cambyma01, chrisdo01, roziecl01, stoudda01, williwa02",5,1997,TOR
D. Christie | P. Jones | C. Rogers | D. Stoudamire | W. Williams TOR 1997,137.33333333333334,9.6,-2.4,-5.6,0.003,3.0,5.6,0.044000000000000004,0.024,10.4,15.9,-0.043,-2.2,-5.4,-2.3,-5.4,-2.2,-5.4,-0.6,1.1,-1.1,-4.7,-5.0,"chrisdo01, jonespo01, rogerca01, stoudda01, williwa02",5,1997,TOR
D. Christie | P. Jones | O. Miller | D. Stoudamire | W. Williams TOR 1997,120.86666666666666,-0.5,-1.5,0.5,-0.02,5.5,9.3,0.062,0.012,-3.0,-6.9,0.122,-2.2,-6.6,-4.1,-6.6,-3.2,-7.9,-5.7,1.7,2.6,0.4,2.1,"chrisdo01, jonespo01, milleol01, stoudda01, williwa02",5,1997,TOR
D. Christie | P. Jones | C. Rozier | D. Stoudamire | W. Williams TOR 1997,84.68333333333334,10.1,-2.3,14.7,-0.094,8.7,13.4,0.225,-0.053,6.0,2.6,0.2,12.9,18.1,0.8,18.1,6.6,14.1,-5.1,3.4,-2.4,-2.3,-1.3,"chrisdo01, jonespo01, roziecl01, stoudda01, williwa02",5,1997,TOR
M. Camby | D. Christie | C. Rogers | D. Stoudamire | W. Williams TOR 1997,77.85,-0.7,2.3,8.1,-0.018000000000000002,2.8,4.1,0.064,-0.005,-13.8,-19.5,0.034,0.0,-0.7,-0.9,-0.7,-1.0,-2.4,-5.9,-1.5,3.1,-0.2,1.6,"cambyma01, chrisdo01, rogerca01, stoudda01, williwa02",5,1997,TOR
D. Christie | A. Earl | P. Jones | D. Stoudamire | W. Williams TOR 1997,73.66666666666667,-5.1,1.9,4.5,0.0,5.8,9.6,0.13699999999999998,0.032,-14.7,-8.1,-0.231,6.1,11.0,2.2,11.0,4.6,10.3,1.2,0.5,2.8,4.6,5.8,"chrisdo01, earlac01, jonespo01, stoudda01, williwa02",5,1997,TOR
M. Camby | D. Christie | O. Miller | D. Stoudamire | W. Williams TOR 1997,58.21666666666667,-6.0,0.6,2.4,-0.004,-1.6,4.7,-0.126,-0.013999999999999999,-5.6,-5.6,-0.03,0.3,-1.9,-3.1,-1.9,-1.3,-2.9,3.0,0.7,9.5,1.1,-2.2,"cambyma01, chrisdo01, milleol01, stoudda01, williwa02",5,1997,TOR
D. Christie | P. Jones | C. Rogers | D. Stoudamire | S. Wright TOR 1997,57.15,-13.0,1.7,14.0,-0.05,2.2,7.4,-0.017,-0.044000000000000004,-18.6,-25.6,-0.048,4.2,6.7,0.2,6.7,2.7,5.8,-1.6,0.4,-1.2,0.8,9.1,"chrisdo01, jonespo01, rogerca01, stoudda01, wrighsh01",5,1997,TOR
M. Camby | D. Christie | D. Stoudamire | W. Williams | S. Wright TOR 1997,50.266666666666666,-30.1,-11.2,-16.3,-0.062,-1.0,0.5,-0.067,-0.063,-6.8,-3.1,-0.11800000000000001,-3.9,-8.7,-4.4,-8.7,-3.9,-8.2,-3.8,-2.6,3.0,12.8,-1.1,"cambyma01, chrisdo01, stoudda01, williwa02, wrighsh01",5,1997,TOR
