lineup,mp,diff_pts,diff_fg,diff_fga,diff_fg_pct,diff_fg3,diff_fg3a,diff_fg3_pct,diff_efg_pct,diff_ft,diff_fta,diff_ft_pct,diff_orb,diff_orb_pct,diff_drb,diff_drb_pct,diff_trb,diff_trb_pct,diff_ast,diff_stl,diff_blk,diff_tov,diff_pf,player_ids,number_players,year,team
J. Hornacek | K. Malone | G. Ostertag | B. Russell | J. Stockton UTA 1997,984.2333333333333,25.2,10.5,0.8,0.11699999999999999,-1.7,-7.4,0.099,0.107,5.6,6.5,0.03,-0.7,3.9,7.4,3.9,3.3,7.8,14.7,3.1,1.7,-3.5,-3.4,"hornaje01, malonka01, ostergr01, russebr01, stockjo01",5,1997,UTA
H. Eisley | J. Hornacek | K. Malone | G. Ostertag | B. Russell UTA 1997,335.8833333333333,10.6,6.1,-2.2,0.087,-2.3,-5.4,-0.013999999999999999,0.07400000000000001,0.6,2.4,-0.037000000000000005,-0.6,2.8,5.2,2.8,2.4,5.6,7.5,1.7,2.6,1.3,0.4,"eisleho01, hornaje01, malonka01, ostergr01, russebr01",5,1997,UTA
A. Carr | J. Hornacek | K. Malone | B. Russell | J. Stockton UTA 1997,207.01666666666668,14.4,5.9,6.1,0.04,-3.1,-8.7,-0.017,0.017,5.8,5.1,0.040999999999999995,-1.3,-2.3,0.0,-2.3,-1.0,-2.3,8.4,9.9,2.6,-9.0,-1.1,"carran01, hornaje01, malonka01, russebr01, stockjo01",5,1997,UTA
G. Foster | J. Hornacek | K. Malone | B. Russell | J. Stockton UTA 1997,196.8,13.0,5.7,6.3,0.031,0.0,-4.4,0.094,0.028999999999999998,1.5,-2.9,0.13699999999999998,-2.5,-5.3,-1.7,-5.3,-2.2,-5.0,9.3,4.9,-3.2,-7.4,-1.8,"fostegr01, hornaje01, malonka01, russebr01, stockjo01",5,1997,UTA
H. Eisley | G. Foster | J. Hornacek | K. Malone | B. Russell UTA 1997,152.85,-8.1,-5.8,-8.1,-0.026000000000000002,-0.2,-2.6,0.037000000000000005,-0.023,3.7,1.9,0.08199999999999999,-4.0,-6.6,1.9,-6.6,-1.3,-3.4,1.9,0.6,-2.2,2.8,2.5,"eisleho01, fostegr01, hornaje01, malonka01, russebr01",5,1997,UTA
S. Anderson | A. Carr | G. Foster | C. Morris | J. Stockton UTA 1997,109.5,-27.9,-4.6,-4.3,-0.03,-6.0,-6.9,-0.179,-0.062,3.5,0.7,0.13,-4.2,-5.3,1.1,-5.3,-1.8,-4.1,-3.0,-1.7,2.3,-0.1,-0.8,"andersh01, carran01, fostegr01, morrich01, stockjo01",5,1997,UTA
S. Anderson | A. Carr | G. Foster | A. Keefe | J. Stockton UTA 1997,96.2,8.6,4.3,-4.5,0.07400000000000001,-0.3,-11.9,0.381,0.07400000000000001,0.3,1.8,-0.055999999999999994,-1.7,1.7,7.0,1.7,2.2,5.3,0.4,-0.2,-1.4,3.3,-2.0,"andersh01, carran01, fostegr01, keefead01, stockjo01",5,1997,UTA
A. Carr | H. Eisley | J. Hornacek | K. Malone | B. Russell UTA 1997,68.8,9.6,8.7,6.1,0.077,-1.5,-12.0,0.262,0.064,-6.2,-14.5,0.099,-1.6,-3.0,0.2,-3.0,-0.7,-1.9,9.5,0.1,0.0,-0.1,4.1,"carran01, eisleho01, hornaje01, malonka01, russebr01",5,1997,UTA
S. Anderson | A. Carr | K. Malone | C. Morris | J. Stockton UTA 1997,67.98333333333333,-27.6,-6.5,-3.0,-0.059000000000000004,-5.8,-15.0,0.23399999999999999,-0.092,-2.8,-6.1,0.063,-4.0,-9.4,-3.3,-9.4,-3.4,-8.5,1.6,-2.0,1.5,3.0,0.0,"andersh01, carran01, malonka01, morrich01, stockjo01",5,1997,UTA
J. Hornacek | A. Keefe | K. Malone | B. Russell | J. Stockton UTA 1997,54.333333333333336,13.2,1.0,-1.2,0.022000000000000002,-0.9,-3.4,-0.002,0.016,12.1,22.1,-0.125,-0.1,-3.0,-4.3,-3.0,-2.4,-6.7,8.3,5.7,0.0,-7.3,-5.9,"hornaje01, keefead01, malonka01, russebr01, stockjo01",5,1997,UTA
S. Anderson | A. Carr | C. Morris | G. Ostertag | J. Stockton UTA 1997,53.8,-5.9,7.8,13.2,0.025,-6.1,-9.4,-0.17800000000000002,-0.016,-1.6,-5.7,0.109,1.5,0.8,-2.0,0.8,-0.5,-1.1,11.0,6.2,1.2,-6.4,0.0,"andersh01, carran01, morrich01, ostergr01, stockjo01",5,1997,UTA
S. Anderson | A. Carr | S. Howard | C. Morris | J. Stockton UTA 1997,47.78333333333333,-0.5,2.3,-13.2,0.096,-3.1,-5.6,-0.064,0.084,-4.6,-1.5,-0.141,-3.7,7.9,18.2,7.9,8.0,17.3,9.6,-5.8,6.8,12.5,-3.1,"andersh01, carran01, howarst01, morrich01, stockjo01",5,1997,UTA
S. Anderson | A. Carr | A. Keefe | K. Malone | J. Stockton UTA 1997,46.4,23.4,15.3,1.8,0.166,-7.8,-18.8,-0.11,0.12,0.6,-1.4,0.062,-1.9,5.7,10.5,5.7,4.6,11.8,21.6,-3.7,-4.7,-0.6,-1.7,"andersh01, carran01, keefead01, malonka01, stockjo01",5,1997,UTA
J. Hornacek | K. Malone | C. Morris | G. Ostertag | J. Stockton UTA 1997,45.166666666666664,-3.8,8.7,3.5,0.091,-3.7,-3.0,-0.203,0.065,-8.2,-5.1,-0.124,-1.6,-2.5,1.2,-2.5,-0.6,-1.7,8.1,-1.8,0.3,-3.2,-2.3,"hornaje01, malonka01, morrich01, ostergr01, stockjo01",5,1997,UTA
H. Eisley | J. Hornacek | S. Howard | K. Malone | B. Russell UTA 1997,42.61666666666667,42.9,21.4,17.9,0.158,2.4,-15.5,0.6890000000000001,0.168,-2.4,-11.9,0.22899999999999998,4.8,18.6,10.7,18.6,7.7,20.0,6.0,8.3,0.0,-7.1,0.6,"eisleho01, hornaje01, howarst01, malonka01, russebr01",5,1997,UTA
S. Anderson | A. Carr | A. Keefe | C. Morris | J. Stockton UTA 1997,40.166666666666664,-15.1,9.9,-3.1,0.127,1.7,-3.2,0.17800000000000002,0.139,-20.6,-20.3,-0.212,-3.5,3.3,12.2,3.3,4.7,10.4,5.2,-8.4,-0.1,9.8,0.0,"andersh01, carran01, keefead01, morrich01, stockjo01",5,1997,UTA
S. Anderson | K. Malone | C. Morris | G. Ostertag | J. Stockton UTA 1997,38.36666666666667,-14.0,2.2,-11.2,0.081,-10.9,-18.6,-0.125,0.026000000000000002,11.4,9.9,0.124,-1.4,2.4,7.3,2.4,3.1,6.7,5.1,-3.3,1.5,3.4,0.8,"andersh01, malonka01, morrich01, ostergr01, stockjo01",5,1997,UTA
S. Anderson | H. Eisley | K. Malone | G. Ostertag | B. Russell UTA 1997,37.6,4.7,10.4,1.8,0.11900000000000001,-1.3,-9.2,0.10300000000000001,0.11,-14.8,-5.0,-0.235,-0.4,-2.8,-3.0,-2.8,-1.9,-4.3,18.3,2.7,1.4,-0.3,-3.2,"andersh01, eisleho01, malonka01, ostergr01, russebr01",5,1997,UTA
H. Eisley | J. Hornacek | A. Keefe | K. Malone | B. Russell UTA 1997,35.46666666666667,39.6,8.9,-8.8,0.18899999999999997,1.7,-0.7,0.14400000000000002,0.20600000000000002,20.1,26.6,0.05,-4.8,-0.5,5.9,-0.5,0.7,2.0,5.4,0.7,1.3,-4.4,-6.3,"eisleho01, hornaje01, keefead01, malonka01, russebr01",5,1997,UTA
S. Anderson | K. Malone | G. Ostertag | B. Russell | J. Stockton UTA 1997,34.65,-27.4,-9.0,-15.5,0.002,-13.1,-15.9,-0.20600000000000002,-0.066,3.7,2.4,0.06,-7.1,-15.7,-0.6,-15.7,-3.7,-12.2,4.0,-1.9,-3.1,9.5,0.0,"andersh01, malonka01, ostergr01, russebr01, stockjo01",5,1997,UTA
G. Foster | J. Hornacek | A. Keefe | K. Malone | J. Stockton UTA 1998,415.3,8.5,2.4,-3.1,0.044000000000000004,-3.8,-9.6,0.042,0.024,7.5,6.6,0.10099999999999999,1.9,9.2,10.3,9.2,5.7,13.2,7.6,-0.8,-4.6,2.1,-2.8,"fostegr01, hornaje01, keefead01, malonka01, stockjo01",5,1998,UTA
H. Eisley | G. Foster | J. Hornacek | A. Keefe | K. Malone UTA 1998,330.55,-3.4,-1.1,-4.8,0.015,-1.7,-6.0,0.147,0.006,0.6,0.9,-0.002,-2.5,-2.1,2.8,-2.1,0.2,0.6,3.8,-0.1,-1.4,1.3,0.8,"eisleho01, fostegr01, hornaje01, keefead01, malonka01",5,1998,UTA
J. Hornacek | A. Keefe | K. Malone | G. Ostertag | J. Stockton UTA 1998,234.71666666666667,20.5,7.8,-5.9,0.122,-3.2,-7.6,-0.035,0.105,8.1,10.8,-0.012,-1.2,6.8,12.2,6.8,5.5,12.6,12.9,1.2,0.0,-0.1,-3.1,"hornaje01, keefead01, malonka01, ostergr01, stockjo01",5,1998,UTA
H. Eisley | J. Hornacek | A. Keefe | K. Malone | G. Ostertag UTA 1998,140.83333333333334,20.4,7.2,-4.1,0.107,-2.2,-2.9,-0.08,0.095,8.2,11.6,-0.023,5.6,20.2,14.7,20.2,10.2,24.2,4.5,-3.0,4.0,2.6,0.2,"eisleho01, hornaje01, keefead01, malonka01, ostergr01",5,1998,UTA
A. Carr | J. Hornacek | A. Keefe | K. Malone | J. Stockton UTA 1998,114.3,19.5,11.3,8.3,0.084,-6.5,-12.5,-0.159,0.043,3.3,2.0,0.083,3.3,7.9,2.6,7.9,3.0,7.6,9.9,6.0,-0.5,-5.0,-0.7,"carran01, hornaje01, keefead01, malonka01, stockjo01",5,1998,UTA
H. Eisley | J. Hornacek | K. Malone | G. Ostertag | B. Russell UTA 1998,112.23333333333333,10.6,-0.8,-11.6,0.055,0.9,1.0,0.061,0.063,11.2,14.5,0.016,-4.6,-5.7,5.4,-5.7,0.5,1.1,2.9,-0.5,2.7,-0.4,-2.3,"eisleho01, hornaje01, malonka01, ostergr01, russebr01",5,1998,UTA
J. Hornacek | K. Malone | G. Ostertag | B. Russell | J. Stockton UTA 1998,110.91666666666667,-3.3,-1.7,-6.3,0.015,-1.4,-2.3,-0.027999999999999997,0.01,1.6,2.1,0.0,-3.3,-4.0,0.8,-4.0,-1.2,-2.6,3.0,-1.0,-1.5,2.9,-3.8,"hornaje01, malonka01, ostergr01, russebr01, stockjo01",5,1998,UTA
J. Hornacek | A. Keefe | K. Malone | B. Russell | J. Stockton UTA 1998,107.91666666666667,10.1,6.1,-0.1,0.078,-0.4,-4.9,0.078,0.076,-1.7,-7.6,0.098,-3.1,-2.8,4.0,-2.8,0.5,1.1,4.2,-1.4,1.8,1.4,-2.5,"hornaje01, keefead01, malonka01, russebr01, stockjo01",5,1998,UTA
S. Anderson | J. Hornacek | K. Malone | B. Russell | J. Stockton UTA 1998,96.76666666666667,28.3,3.0,-5.9,0.087,0.2,-2.5,0.079,0.091,22.1,26.4,0.07400000000000001,3.6,15.2,9.4,15.2,5.9,18.1,4.9,3.7,0.8,-3.0,-15.2,"andersh01, hornaje01, malonka01, russebr01, stockjo01",5,1998,UTA
S. Anderson | A. Carr | H. Eisley | G. Ostertag | B. Russell UTA 1998,84.75,-11.8,-5.7,7.8,-0.10400000000000001,-1.3,-2.1,-0.065,-0.114,0.9,3.9,-0.065,12.3,18.7,0.7,18.7,6.3,12.8,-6.0,1.4,-1.7,0.9,2.5,"andersh01, carran01, eisleho01, ostergr01, russebr01",5,1998,UTA
H. Eisley | J. Hornacek | A. Keefe | K. Malone | B. Russell UTA 1998,74.85,-2.1,1.3,9.4,-0.032,-4.2,2.7,-0.315,-0.061,-0.5,-2.2,0.031,6.1,11.6,2.5,11.6,4.0,9.4,-2.8,3.1,-0.5,-3.9,1.7,"eisleho01, hornaje01, keefead01, malonka01, russebr01",5,1998,UTA
