lineup,mp,diff_pts,diff_fg,diff_fga,diff_fg_pct,diff_fg3,diff_fg3a,diff_fg3_pct,diff_efg_pct,diff_ft,diff_fta,diff_ft_pct,diff_orb,diff_orb_pct,diff_drb,diff_drb_pct,diff_trb,diff_trb_pct,diff_ast,diff_stl,diff_blk,diff_tov,diff_pf,player_ids,number_players,year,team
C. Cheaney | J. Howard | R. Strickland | C. Webber WSB 1997,1622.1666666666667,0.1,2.2,-1.8,0.036000000000000004,-4.6,-9.7,-0.10300000000000001,0.01,0.0,1.8,-0.053,-1.1,-1.3,0.7,-1.3,0.0,-0.1,3.1,-0.8,0.7,-0.4,0.0,"cheanca01, howarju01, stricro02, webbech01",4,1997,WSB
C. Cheaney | J. Howard | G. Mureșan | R. Strickland WSB 1997,1094.8,7.5,5.1,-0.6,0.061,-5.5,-10.8,-0.14,0.03,2.9,5.0,-0.034,0.7,4.0,4.1,4.0,2.6,6.2,4.0,-0.6,0.3,-1.4,-0.9,"cheanca01, howarju01, muresgh01, stricro02",4,1997,WSB
J. Howard | G. Mureșan | R. Strickland | C. Webber WSB 1997,988.1,6.5,5.0,-1.2,0.063,-6.0,-10.7,-0.172,0.028999999999999998,2.5,5.2,-0.057999999999999996,1.1,4.7,4.1,4.7,2.8,6.5,3.5,-1.3,0.7,-0.4,-1.2,"howarju01, muresgh01, stricro02, webbech01",4,1997,WSB
C. Cheaney | J. Howard | G. Mureșan | C. Webber WSB 1997,862.6333333333333,5.7,4.3,-2.4,0.063,-6.3,-11.7,-0.163,0.027000000000000003,3.3,5.8,-0.044000000000000004,0.7,3.9,3.9,3.9,2.4,5.8,3.1,-1.0,0.0,-0.1,-1.4,"cheanca01, howarju01, muresgh01, webbech01",4,1997,WSB
C. Cheaney | G. Mureșan | R. Strickland | C. Webber WSB 1997,843.65,5.9,4.6,-2.3,0.065,-6.3,-11.7,-0.171,0.03,2.9,5.5,-0.052000000000000005,0.5,3.7,3.9,3.7,2.4,5.8,3.5,-1.3,0.2,-0.2,-1.4,"cheanca01, muresgh01, stricro02, webbech01",4,1997,WSB
H. Grant | J. Howard | R. Strickland | C. Webber WSB 1997,751.4333333333333,2.7,2.3,2.7,0.013000000000000001,-2.0,-6.8,0.032,0.001,-0.3,2.0,-0.069,0.6,0.1,-1.4,0.1,-0.1,-0.2,4.1,0.7,1.7,-2.5,-0.3,"grantha01, howarju01, stricro02, webbech01",4,1997,WSB
C. Cheaney | H. Grant | J. Howard | R. Strickland WSB 1997,660.8,-2.5,2.1,1.2,0.018000000000000002,-3.4,-10.2,-0.019,-0.002,-3.3,-2.3,-0.066,-1.7,-4.2,-2.4,-4.2,-1.7,-3.7,4.4,0.4,0.9,-1.9,0.7,"cheanca01, grantha01, howarju01, stricro02",4,1997,WSB
C. Cheaney | H. Grant | R. Strickland | C. Webber WSB 1997,490.75,-2.1,0.9,-0.2,0.011000000000000001,-3.2,-9.5,-0.017,-0.006999999999999999,-0.7,2.1,-0.091,-1.0,-3.6,-3.3,-3.6,-1.8,-3.8,3.4,-0.2,2.7,-1.4,0.1,"cheanca01, grantha01, stricro02, webbech01",4,1997,WSB
C. Cheaney | H. Grant | J. Howard | C. Webber WSB 1997,471.71666666666664,-4.3,-0.1,0.5,-0.004,-3.0,-9.2,0.016,-0.021,-1.2,1.3,-0.09,-0.5,-2.8,-3.2,-2.8,-1.4,-3.0,3.3,-0.4,2.1,-1.2,0.1,"cheanca01, grantha01, howarju01, webbech01",4,1997,WSB
C. Cheaney | J. Howard | T. Murray | R. Strickland WSB 1997,463.8666666666667,1.3,3.5,0.3,0.042,-1.0,-2.7,-0.011000000000000001,0.035,-4.9,-5.2,-0.034,-1.9,-2.1,1.7,-2.1,-0.3,-0.7,3.7,-0.3,0.1,-0.9,2.0,"cheanca01, howarju01, murratr01, stricro02",4,1997,WSB
J. Howard | T. Murray | R. Strickland | C. Webber WSB 1997,462.0833333333333,3.2,3.9,2.8,0.03,-1.1,-2.5,-0.013000000000000001,0.023,-3.8,-4.8,-0.009000000000000001,-0.8,-0.3,1.2,-0.3,0.2,0.5,5.8,0.5,0.0,-2.0,2.2,"howarju01, murratr01, stricro02, webbech01",4,1997,WSB
J. Howard | J. Jackson | R. Strickland | C. Webber WSB 1997,314.06666666666666,8.0,4.3,11.0,-0.008,0.7,1.5,0.01,-0.009000000000000001,-2.0,-2.1,-0.019,3.1,2.4,-3.2,2.4,0.0,0.0,4.9,2.6,2.7,-7.9,0.6,"howarju01, jacksja01, stricro02, webbech01",4,1997,WSB
C. Cheaney | T. Murray | R. Strickland | C. Webber WSB 1997,276.8,1.6,3.3,-2.7,0.055999999999999994,-0.9,-2.8,-0.003,0.052000000000000005,-4.4,-4.2,-0.04,-3.7,-6.8,-0.8,-6.8,-2.2,-5.4,5.5,-0.4,0.2,0.2,2.7,"cheanca01, murratr01, stricro02, webbech01",4,1997,WSB
