lineup,mp,diff_pts,diff_fg,diff_fga,diff_fg_pct,diff_fg3,diff_fg3a,diff_fg3_pct,diff_efg_pct,diff_ft,diff_fta,diff_ft_pct,diff_orb,diff_orb_pct,diff_drb,diff_drb_pct,diff_trb,diff_trb_pct,diff_ast,diff_stl,diff_blk,diff_tov,diff_pf,player_ids,number_players,year,team
C. Cheaney | J. Howard | G. Mureșan | R. Strickland | C. Webber WSB 1997,823.8833333333333,5.3,4.5,-2.1,0.063,-6.4,-11.8,-0.17300000000000001,0.027999999999999997,2.6,5.2,-0.057999999999999996,0.5,3.4,3.7,3.4,2.3,5.4,3.3,-1.3,0.1,-0.1,-1.3,"cheanca01, howarju01, muresgh01, stricro02, webbech01",5,1997,WSB
C. Cheaney | H. Grant | J. Howard | R. Strickland | C. Webber WSB 1997,456.96666666666664,-4.3,0.2,0.4,0.0,-3.3,-9.8,-0.016,-0.019,-1.4,1.1,-0.091,-0.7,-3.1,-3.2,-3.1,-1.6,-3.4,3.0,-0.3,2.2,-1.2,0.1,"cheanca01, grantha01, howarju01, stricro02, webbech01",5,1997,WSB
C. Cheaney | J. Howard | T. Murray | R. Strickland | C. Webber WSB 1997,238.95,-2.7,3.1,-0.9,0.044000000000000004,-1.0,-2.7,-0.017,0.038,-8.2,-9.7,-0.038,-4.1,-8.0,-1.3,-8.0,-2.7,-6.8,5.0,-0.4,-0.4,0.1,3.2,"cheanca01, howarju01, murratr01, stricro02, webbech01",5,1997,WSB
H. Grant | J. Howard | J. Jackson | R. Strickland | C. Webber WSB 1997,132.73333333333332,21.7,8.7,12.2,0.037000000000000005,1.8,1.0,0.07200000000000001,0.042,1.0,4.3,-0.066,3.6,4.7,-1.7,4.7,0.9,2.0,6.9,5.6,3.3,-10.4,-0.6,"grantha01, howarju01, jacksja01, stricro02, webbech01",5,1997,WSB
C. Cheaney | H. Grant | J. Howard | G. Mureșan | R. Strickland WSB 1997,131.43333333333334,13.7,8.4,4.5,0.07,-2.7,-10.1,0.066,0.054000000000000006,-0.4,-4.3,0.161,-1.7,-1.3,3.9,-1.3,1.4,3.3,8.7,2.6,-1.3,-5.6,1.4,"cheanca01, grantha01, howarju01, muresgh01, stricro02",5,1997,WSB
C. Cheaney | J. Howard | G. Mureșan | T. Murray | R. Strickland WSB 1997,117.6,18.2,8.2,6.6,0.055999999999999994,-1.8,-3.5,-0.05,0.044000000000000004,3.6,7.2,-0.063,6.3,16.4,9.2,16.4,7.8,18.1,3.6,1.3,2.6,-3.9,0.0,"cheanca01, howarju01, muresgh01, murratr01, stricro02",5,1997,WSB
H. Grant | J. Jackson | T. Murray | C. Webber | C. Whitney WSB 1997,114.45,-8.7,0.6,9.7,-0.039,4.3,11.1,0.033,-0.02,-14.2,-14.5,-0.27899999999999997,-3.3,-12.0,-13.3,-12.0,-8.0,-16.1,6.0,1.6,2.1,-6.9,3.4,"grantha01, jacksja01, murratr01, webbech01, whitnch01",5,1997,WSB
J. Howard | J. Jackson | T. Murray | R. Strickland | C. Webber WSB 1997,75.91666666666667,9.6,5.7,20.3,-0.052000000000000005,2.3,6.0,-0.004,-0.046,-4.1,-10.6,0.109,6.7,8.7,-1.6,8.7,2.7,6.3,6.4,3.2,0.5,-11.3,2.1,"howarju01, jacksja01, murratr01, stricro02, webbech01",5,1997,WSB
J. Howard | J. Jackson | G. Mureșan | T. Murray | C. Whitney WSB 1997,73.01666666666667,-9.7,-5.0,4.5,-0.078,2.0,1.0,0.099,-0.068,-1.7,-0.3,-0.1,3.3,3.6,-4.2,3.6,-0.7,-1.4,2.4,3.0,1.5,-1.8,0.7,"howarju01, jacksja01, muresgh01, murratr01, whitnch01",5,1997,WSB
H. Grant | J. Jackson | G. Mureșan | T. Murray | C. Whitney WSB 1997,72.93333333333334,7.8,5.3,9.9,0.006999999999999999,3.2,18.0,-0.177,0.021,-5.9,-3.5,-0.147,1.8,0.2,-3.6,0.2,-0.8,-1.6,8.9,2.2,2.2,-6.7,3.5,"grantha01, jacksja01, muresgh01, murratr01, whitnch01",5,1997,WSB
J. Howard | J. Jackson | G. Mureșan | R. Strickland | C. Webber WSB 1997,64.75,-4.1,1.1,3.2,-0.002,-4.1,0.1,-0.22699999999999998,-0.025,-2.3,-1.4,-0.048,1.8,-2.4,-6.8,-2.4,-2.5,-5.1,-0.6,0.0,5.7,-2.4,-0.4,"howarju01, jacksja01, muresgh01, stricro02, webbech01",5,1997,WSB
