player,pos,age,team_id,g,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ows,dws,ws,ws_per_48,obpm,dbpm,bpm,vorp,player_id,year
Mahmoud Abdul-Rauf 1997,PG,27,SAC,75,2131,13.2,.524,.266,.147,0.9,5.9,3.3,15.8,1.4,0.2,10.8,23.2,2.0,0.7,2.7,.060,-0.8,-1.8,-2.6,-0.4,abdulma02,1997
Shareef Abdur-Rahim 1997,PF,20,VAN,80,2802,17.4,.518,.022,.428,8.8,14.2,11.5,12.1,1.5,2.2,13.5,27.6,1.7,1.2,2.9,.049,0.3,-2.1,-1.8,0.2,abdursh01,1997
Rafael Addison 1997,SF,32,CHH,41,355,10.6,.476,.164,.230,6.7,8.6,7.7,15.5,1.2,0.6,11.2,20.1,0.2,0.1,0.4,.048,-2.6,-1.7,-4.4,-0.2,addisra01,1997
Cory Alexander 1997,PG,23,SAS,80,1454,14.3,.528,.514,.263,2.3,8.0,5.1,30.0,3.1,0.9,21.1,22.2,0.5,0.6,1.1,.035,0.3,-0.8,-0.6,0.5,alexaco01,1997
Jerome Allen 1997,SG,24,TOT,76,943,8.7,.451,.421,.326,3.1,9.0,6.1,25.3,1.8,0.3,21.4,15.6,-0.3,0.8,0.4,.021,-2.5,-0.2,-2.6,-0.1,allenje01,1997
Ray Allen* 1997,SG,21,MIL,82,2532,14.6,.541,.328,.274,4.7,11.0,7.9,13.9,1.6,0.3,12.8,21.4,3.3,1.5,4.9,.092,0.8,-0.9,-0.1,1.2,allenra02,1997
Derrick Alston 1997,C,24,ATL,2,11,-9.0,.000,.000,.400,33.3,10.6,21.7,0.0,0.0,0.0,0.0,25.2,-0.1,0.0,-0.1,-0.415,-9.5,-12.1,-21.6,-0.1,alstode01,1997
Ashraf Amaya 1997,PF,25,WSB,31,144,8.8,.382,.025,.700,15.7,26.4,21.1,2.9,2.5,1.6,16.0,19.4,-0.2,0.3,0.1,.019,-6.2,-0.9,-7.1,-0.2,amayaas01,1997
Greg Anderson 1997,C,32,SAS,82,1659,11.4,.531,.004,.355,11.0,21.8,16.2,3.2,2.1,3.2,19.4,10.5,0.7,1.5,2.2,.064,-3.6,0.1,-3.5,-0.6,andergr01,1997
Kenny Anderson 1997,PG,26,POR,82,3081,19.5,.540,.322,.383,3.6,10.2,7.0,31.7,2.8,0.4,12.7,22.2,8.0,4.4,12.4,.193,3.2,1.2,4.4,5.0,anderke01,1997
Nick Anderson 1997,SG,29,ORL,63,2163,13.8,.494,.559,.130,3.5,13.2,8.2,14.5,3.0,1.1,10.1,18.2,1.3,2.9,4.2,.093,0.2,1.6,1.8,2.1,anderni01,1997
Shandon Anderson 1997,SG,23,UTA,65,1066,10.4,.534,.148,.311,6.5,14.0,10.5,7.1,1.4,0.6,16.8,18.9,0.1,1.2,1.2,.056,-2.3,-1.4,-3.6,-0.4,andersh01,1997
Willie Anderson 1997,SG,30,MIA,28,303,12.6,.570,.297,.313,6.0,10.4,8.2,18.2,2.5,1.0,20.7,14.2,0.4,0.5,0.9,.142,-1.4,2.2,0.9,0.2,anderwi01,1997
Greg Anthony 1997,PG,29,VAN,65,1863,16.6,.526,.469,.351,1.5,10.0,5.7,36.1,3.8,0.2,18.1,17.8,2.3,1.2,3.5,.090,0.9,0.5,1.5,1.6,anthogr01,1997
B.J. Armstrong 1997,PG,29,GSW,49,1020,12.9,.538,.275,.242,0.8,7.8,4.3,20.3,1.3,0.2,12.8,18.1,1.4,-0.1,1.3,.061,-0.5,-1.8,-2.3,-0.1,armstbj01,1997
Darrell Armstrong 1997,PG,28,ORL,67,1010,14.7,.525,.525,.307,4.0,4.9,4.4,29.7,3.3,0.7,20.2,22.4,0.7,1.1,1.8,.085,0.5,0.7,1.1,0.8,armstda01,1997
Vincent Askew 1997,SG,30,TOT,43,838,9.7,.532,.129,.473,3.6,10.2,7.0,17.3,1.1,0.6,17.0,14.9,0.7,0.8,1.5,.086,-2.7,0.8,-1.9,0.0,askewvi01,1997
Keith Askins 1997,SF,29,MIA,78,1773,9.1,.557,.539,.182,5.9,12.2,9.1,6.7,1.6,0.8,14.6,10.7,1.5,2.8,4.3,.116,-1.5,1.7,0.2,1.0,askinke01,1997
Stacey Augmon 1997,SG,28,TOT,60,942,11.3,.531,.000,.441,6.2,11.4,8.8,9.4,2.4,1.5,19.6,16.2,0.2,1.3,1.5,.076,-2.6,1.5,-1.1,0.2,augmost01,1997
Isaac Austin 1997,C,27,MIA,82,1881,14.2,.536,.005,.354,8.7,21.2,15.1,9.9,1.3,1.8,17.9,22.5,0.3,3.7,4.0,.102,-2.5,0.8,-1.7,0.1,austiis01,1997
Vin Baker 1997,PF,25,MIL,78,3159,20.1,.553,.043,.416,10.4,20.7,15.6,12.1,1.4,2.7,14.2,25.3,4.9,3.4,8.3,.127,2.1,-0.1,2.0,3.2,bakervi01,1997
Charles Barkley* 1997,PF,33,HOU,53,2009,23.0,.581,.296,.600,12.9,27.7,20.7,20.6,1.8,0.9,14.7,23.2,5.7,3.7,9.4,.224,4.4,1.3,5.7,3.9,barklch01,1997
Dana Barros 1997,PG,29,BOS,24,708,14.0,.552,.415,.170,0.8,7.6,3.9,18.6,1.8,0.6,12.5,18.8,0.9,0.1,1.0,.065,1.6,-0.6,1.0,0.5,barroda01,1997
Brent Barry 1997,SG,25,LAC,59,1094,15.0,.526,.456,.245,3.1,8.9,5.9,23.1,2.5,1.1,15.3,20.3,1.2,0.9,2.1,.090,0.6,-0.2,0.4,0.7,barrybr01,1997
Jon Barry 1997,SG,27,ATL,58,965,13.2,.535,.504,.187,3.3,8.8,6.1,19.7,3.2,0.2,18.1,15.9,0.9,1.5,2.4,.118,-0.5,1.7,1.3,0.8,barryjo01,1997
Benoit Benjamin 1997,C,32,TOR,4,44,8.9,.472,.000,.333,7.8,16.5,12.0,3.7,1.2,0.0,12.7,16.0,0.0,0.0,0.0,.033,-3.8,-1.6,-5.4,0.0,benjabe01,1997
Elmer Bennett 1997,PG,26,TOT,9,75,5.8,.470,.474,.526,0.0,6.0,3.1,22.3,2.8,0.0,29.9,20.0,-0.2,0.0,-0.1,-0.075,-6.7,-1.4,-8.1,-0.1,benneel01,1997
Travis Best 1997,PG,24,IND,76,2064,13.3,.533,.250,.318,2.1,7.4,4.8,26.4,2.6,0.2,17.8,19.3,1.8,2.3,4.1,.096,-0.9,0.9,0.0,1.0,besttr01,1997
Mookie Blaylock 1997,PG,29,ATL,78,3056,20.4,.548,.521,.150,4.6,11.4,8.1,27.7,3.8,0.5,13.0,21.9,7.0,5.6,12.5,.197,4.3,2.4,6.8,6.8,blaylmo01,1997
Corie Blount 1997,PF,28,LAL,58,1009,11.9,.559,.017,.464,12.9,18.3,15.6,5.2,1.1,2.0,18.8,11.8,1.1,1.4,2.5,.117,-2.2,0.1,-2.1,0.0,blounco01,1997
Muggsy Bogues 1997,PG,32,CHH,65,1880,15.7,.554,.325,.144,1.7,7.2,4.5,38.6,2.4,0.1,18.6,14.5,3.9,1.1,5.0,.127,1.9,-0.4,1.5,1.6,boguemu01,1997
Dexter Boney 1997,SG,26,PHO,8,48,10.2,.422,.316,.421,7.3,7.2,7.3,0.0,2.1,1.5,4.3,22.1,0.0,0.0,0.0,.013,-4.0,-2.1,-6.1,0.0,boneyde01,1997
Melvin Booker 1997,PG,24,TOT,21,430,8.8,.536,.352,.190,1.9,6.1,4.0,19.1,0.4,0.4,19.2,14.6,0.3,-0.1,0.1,.014,-2.0,-1.8,-3.7,-0.2,bookeme01,1997
Bruce Bowen 1997,SF,25,MIA,1,1,37.7,,,,0.0,0.0,0.0,0.0,0.0,77.8,,0.0,0.0,0.0,0.0,.321,36.8,60.7,97.4,0.0,bowenbr01,1997
Donnie Boyce 1997,SG,23,ATL,22,154,7.0,.378,.254,.349,5.5,6.1,5.8,14.7,3.6,2.0,18.0,27.2,-0.5,0.3,-0.3,-0.081,-6.7,0.5,-6.3,-0.2,boycedo01,1997
Shawn Bradley 1997,C,24,TOT,73,2288,16.5,.478,.009,.252,10.4,19.8,14.9,4.2,0.9,8.3,11.8,22.1,0.0,3.0,3.0,.062,-1.9,0.8,-1.1,0.5,bradlsh01,1997
Mark Bradtke 1997,C,28,PHI,36,251,9.6,.463,.000,.224,11.0,18.7,14.8,4.2,1.0,1.4,12.4,12.2,0.1,0.1,0.2,.044,-3.5,-1.1,-4.6,-0.2,bradtma01,1997
Terrell Brandon 1997,PG,26,CLE,78,2868,21.5,.526,.206,.226,2.1,11.7,6.8,35.6,2.8,0.9,11.0,28.3,6.2,4.7,10.8,.181,4.2,1.5,5.6,5.5,brandte01,1997
Frank Brickowski 1997,PF,37,BOS,17,255,6.9,.512,.274,.192,2.5,13.7,7.7,9.1,1.0,1.2,19.4,16.5,-0.2,0.1,-0.1,-0.020,-4.8,-0.8,-5.6,-0.2,brickfr01,1997
Scott Brooks 1997,PG,31,NYK,38,251,11.0,.625,.308,.385,3.0,5.5,4.3,17.8,4.4,0.0,27.2,11.5,0.2,0.5,0.7,.136,-3.0,4.5,1.5,0.2,brooksc01,1997
