player,pos,age,team_id,g,gs,mp,fg_per_poss,fga_per_poss,fg_pct,fg3_per_poss,fg3a_per_poss,fg3_pct,fg2_per_poss,fg2a_per_poss,fg2_pct,ft_per_poss,fta_per_poss,ft_pct,orb_per_poss,drb_per_poss,trb_per_poss,ast_per_poss,stl_per_poss,blk_per_poss,tov_per_poss,pf_per_poss,pts_per_poss,off_rtg,def_rtg,player_id,year
Mahmoud Abdul-Rauf 1997,PG,27,SAC,75,51,2131,10.2,22.9,.445,2.3,6.1,.382,7.8,16.8,.468,2.8,3.4,.846,0.4,2.6,3.0,4.7,1.4,0.1,2.9,4.3,25.5,105,112,abdulma02,1997
Shareef Abdur-Rahim 1997,PF,20,VAN,80,71,2802,10.7,23.5,.453,0.1,0.5,.259,10.5,23.0,.457,7.5,10.1,.746,4.2,6.6,10.7,3.4,1.5,1.5,4.4,3.9,28.9,102,112,abdursh01,1997
Rafael Addison 1997,SF,32,CHH,41,3,355,7.5,18.6,.402,1.2,3.1,.400,6.3,15.6,.402,3.4,4.3,.786,2.9,4.0,6.9,5.2,1.2,0.5,2.6,7.9,19.5,103,112,addisra01,1997
Cory Alexander 1997,PG,23,SAS,80,6,1454,7.3,18.5,.396,3.6,9.5,.373,3.8,9.0,.420,3.6,4.9,.736,1.1,3.6,4.7,9.6,3.1,0.6,5.5,5.6,21.8,101,112,alexaco01,1997
Jerome Allen 1997,SG,24,TOT,76,1,943,4.4,12.5,.353,1.7,5.3,.323,2.7,7.2,.375,2.4,4.1,.583,1.4,4.1,5.5,8.6,1.8,0.2,3.9,4.8,12.9,95,109,allenje01,1997
Ray Allen* 1997,SG,21,MIL,82,81,2532,8.3,19.2,.430,2.5,6.3,.393,5.8,12.9,.448,4.3,5.3,.823,2.1,4.8,6.9,4.4,1.6,0.2,3.2,4.6,23.3,109,110,allenra02,1997
Derrick Alston 1997,C,24,ATL,2,0,11,0.0,25.1,.000,0.0,0.0,,0.0,25.1,.000,0.0,10.1,.000,15.1,5.0,20.1,0.0,0.0,0.0,0.0,0.0,0.0,35,109,alstode01,1997
Ashraf Amaya 1997,PF,25,WSB,31,0,144,4.3,14.4,.300,0.4,0.4,1.000,4.0,14.1,.282,5.4,10.1,.536,6.9,11.9,18.8,1.1,2.5,1.1,3.6,10.5,14.4,86,99,amayaas01,1997
Greg Anderson 1997,C,32,SAS,82,48,1659,4.3,8.7,.496,0.0,0.0,.000,4.3,8.6,.498,2.1,3.1,.667,5.2,9.6,14.8,1.1,2.1,2.2,2.4,7.5,10.7,105,108,andergr01,1997
Kenny Anderson 1997,PG,26,POR,82,81,3081,8.3,19.5,.427,2.3,6.3,.361,6.0,13.2,.458,5.7,7.5,.768,1.6,4.7,6.2,10.0,2.8,0.3,3.3,3.8,24.6,117,104,anderke01,1997
Nick Anderson 1997,SG,29,ORL,63,61,2163,7.2,18.2,.397,3.6,10.2,.353,3.6,8.0,.453,1.0,2.4,.404,1.7,6.0,7.6,4.6,3.0,0.8,2.2,4.0,19.0,104,104,anderni01,1997
Shandon Anderson 1997,SG,23,UTA,65,0,1066,7.4,15.9,.462,1.2,2.4,.511,6.2,13.6,.454,3.4,5.0,.687,2.6,6.4,9.0,2.5,1.4,0.4,3.7,5.7,19.3,99,106,andersh01,1997
Willie Anderson 1997,SG,30,MIA,28,1,303,5.2,11.5,.453,1.4,3.4,.421,3.8,8.1,.467,3.1,3.6,.850,2.7,4.8,7.5,6.1,2.5,0.7,3.4,6.5,14.9,111,101,anderwi01,1997
Greg Anthony 1997,PG,29,VAN,65,44,1863,5.8,14.8,.393,2.6,6.9,.370,3.2,7.8,.413,3.8,5.2,.730,0.7,4.6,5.4,11.9,3.8,0.1,3.8,3.6,17.9,108,110,anthogr01,1997
