player,pos,age,team_id,g,mp,fg_pct,avg_dist,pct_fga_fg2a,pct_fga_00_03,pct_fga_03_10,pct_fga_10_16,pct_fga_16_xx,pct_fga_fg3a,fg_pct_fg2a,fg_pct_00_03,fg_pct_03_10,fg_pct_10_16,fg_pct_16_xx,fg_pct_fg3a,pct_ast_fg2,pct_ast_fg3,pct_fga_dunk,fg_dunk,pct_fg3a_corner3,fg_pct_corner3,fg3a_heave,fg3_heave,player_id,year
Tariq Abdul-Wahad 2000,SG,25,TOT,61,1578,.424,10.2,.964,.314,.159,.198,.293,.036,.435,.601,.369,.344,.354,.130,.576,1.000,.099,54,.130,.333,0,0,abdulta01,2000
Shareef Abdur-Rahim 2000,SF,23,VAN,82,3223,.465,9.1,.925,.314,.279,.149,.183,.075,.478,.636,.419,.363,.393,.302,.494,1.000,.086,101,.563,.370,2,0,abdursh01,2000
Cory Alexander 2000,PG,26,DEN,29,329,.286,14.7,.643,.235,.112,.092,.204,.357,.302,.522,.182,.111,.200,.257,.211,.667,.010,1,.171,.167,0,0,alexaco01,2000
Ray Allen* 2000,SG,24,MIL,82,3070,.455,14.2,.712,.199,.127,.220,.166,.288,.468,.584,.419,.423,.427,.423,.421,.855,.043,54,.273,.459,12,0,allenra02,2000
Rafer Alston 2000,PG,23,MIL,27,361,.284,15.2,.853,.116,.116,.221,.400,.147,.296,.273,.364,.238,.316,.214,.583,1.000,.000,0,.571,.375,1,0,alstora01,2000
John Amaechi 2000,C,29,ORL,80,1684,.437,9.4,.991,.287,.266,.123,.316,.009,.439,.547,.355,.407,.425,.167,.574,1.000,.013,7,.167,.000,0,0,amaecjo01,2000
Derek Anderson 2000,SG,25,LAC,64,2201,.438,13.5,.793,.255,.080,.183,.276,.207,.472,.644,.348,.382,.409,.309,.438,.764,.066,53,.208,.405,3,0,anderde01,2000
Kenny Anderson 2000,PG,29,BOS,82,2593,.440,13.0,.777,.219,.166,.162,.229,.223,.456,.495,.409,.375,.509,.386,.287,.824,.000,0,.105,.391,0,0,anderke01,2000
Nick Anderson 2000,SG,32,SAC,72,2094,.391,17.2,.492,.119,.157,.069,.147,.508,.452,.602,.439,.407,.365,.332,.638,.947,.010,7,.196,.321,5,0,anderni01,2000
Shandon Anderson 2000,SF,26,HOU,82,2700,.473,11.1,.711,.393,.143,.077,.098,.289,.523,.647,.369,.300,.421,.351,.647,.962,.028,20,.404,.385,0,0,andersh01,2000
Chris Anstey 2000,C,25,CHI,73,1007,.442,10.2,.984,.272,.192,.209,.313,.016,.447,.545,.529,.368,.360,.167,.706,1.000,.055,18,.000,,1,0,anstech01,2000
Greg Anthony 2000,PG,32,POR,82,1548,.406,18.7,.440,.132,.038,.070,.200,.560,.443,.618,.313,.310,.398,.378,.395,.830,.000,0,.215,.400,1,0,anthogr01,2000
B.J. Armstrong 2000,PG,32,CHI,27,583,.446,16.5,.844,.086,.081,.156,.522,.156,.446,.563,.400,.310,.474,.448,.529,.769,.000,0,.138,.250,0,0,armstbj01,2000
Darrell Armstrong 2000,PG,31,ORL,82,2590,.433,15.9,.640,.197,.055,.132,.256,.360,.485,.575,.311,.392,.500,.340,.331,.577,.020,19,.112,.311,2,0,armstda01,2000
Chucky Atkins 2000,PG,25,ORL,82,1626,.424,14.9,.780,.212,.089,.089,.390,.220,.445,.567,.318,.348,.429,.350,.206,.719,.000,0,.092,.600,4,0,atkinch01,2000
Stacey Augmon 2000,SG,31,POR,59,692,.474,9.1,.989,.383,.189,.126,.291,.011,.480,.642,.394,.409,.353,.000,.614,,.057,10,.000,,1,0,augmost01,2000
Isaac Austin 2000,C,30,WAS,59,1173,.429,9.3,.989,.256,.267,.219,.247,.011,.431,.556,.351,.312,.494,.250,.680,1.000,.068,23,.500,.500,0,0,austiis01,2000
Anthony Avent 2000,PF,30,LAC,49,377,.302,6.6,1.000,.396,.240,.302,.063,.000,.302,.500,.217,.172,.000,,.552,,.010,1,,,0,0,aventan01,2000
William Avery 2000,PG,20,MIN,59,484,.309,16.0,.652,.204,.094,.072,.282,.348,.322,.351,.353,.077,.353,.286,.316,.833,.000,0,.222,.286,1,0,averywi01,2000
