player,pos,age,team_id,g,mp,pct_1,pct_2,pct_3,pct_4,pct_5,plus_minus_on,plus_minus_net,tov_bad_pass,tov_lost_ball,fouls_shooting,fouls_offensive,drawn_shooting,astd_pts,and1s,own_shots_blk,player_id,year
Tariq Abdul-Wahad 2003,SG,28,DAL,14,204,,28%,68%,4%,,5.5,-2.9,3,2,16,1,3,52,0,4,abdulta01,2003
Shareef Abdur-Rahim 2003,PF,26,ATL,81,3087,,,5%,93%,2%,-3.5,1.5,80,63,95,35,228,555,41,106,abdursh01,2003
Courtney Alexander 2003,PG,25,NOH,66,1360,38%,58%,4%,,,-0.2,-3.9,29,22,44,10,61,176,11,35,alexaco02,2003
Malik Allen 2003,PF,24,MIA,80,2318,,,,94%,6%,-8.1,-5.8,47,44,134,18,49,123,13,49,allenma01,2003
Ray Allen* 2003,SG,27,TOT,76,2880,1%,90%,9%,,,3.0,4.1,102,57,108,21,114,771,16,63,allenra02,2003
Rafer Alston 2003,PG,26,TOR,47,980,94%,6%,,,,-7.4,-1.0,59,11,47,8,25,419,6,18,alstora01,2003
John Amaechi 2003,C,32,UTA,50,474,,,,11%,89%,-2.2,-6.1,14,9,29,5,23,44,6,30,amaecjo01,2003
Chris Andersen 2003,C,24,DEN,59,907,,,,71%,29%,-6.7,3.6,37,11,38,7,59,69,9,30,anderch01,2003
Derek Anderson 2003,PG,28,POR,76,2556,53%,47%,,,,4.3,3.9,66,33,57,10,78,708,17,19,anderde01,2003
Kenny Anderson 2003,PG,32,TOT,61,1135,100%,,,,,-1.7,-3.4,37,23,39,9,27,428,7,28,anderke01,2003
Shandon Anderson 2003,SF,29,NYK,82,1731,,10%,85%,6%,,-0.9,1.4,52,35,72,20,86,193,22,27,andersh01,2003
Robert Archibald 2003,PF,22,MEM,12,72,,,,34%,67%,-7.9,-4.5,3,2,6,1,9,6,0,2,archiro01,2003
Gilbert Arenas 2003,PG,21,GSW,82,2866,87%,13%,,,,-1.5,-1.5,147,75,96,42,174,1112,39,98,arenagi01,2003
Brandon Armstrong 2003,SG,22,NJN,17,69,,95%,5%,,,-7.7,-13.8,3,1,2,1,3,6,1,1,armstbr01,2003
Darrell Armstrong 2003,PG,34,ORL,82,2350,93%,7%,,,,0.5,1.1,95,42,43,8,25,740,7,23,armstda01,2003
Carlos Arroyo 2003,PG,23,UTA,44,287,81%,19%,,,,-3.1,-6.8,14,9,11,3,10,109,2,8,arroyca01,2003
Chucky Atkins 2003,PG,28,DET,65,1398,100%,,,,,4.9,1.1,47,15,28,8,16,395,3,16,atkinch01,2003
Stacey Augmon 2003,SG,34,NOH,70,862,,54%,46%,,,5.6,4.1,19,12,27,5,30,156,4,13,augmost01,2003
Dalibor Bagarić 2003,C,22,CHI,10,76,,,,11%,89%,0.8,6.3,4,0,8,1,2,9,0,4,bagarda01,2003
Vin Baker 2003,C,31,BOS,52,942,,,,2%,98%,-3.9,-4.7,11,20,47,16,46,73,10,34,bakervi01,2003
Brent Barry 2003,SG,31,SEA,75,2480,30%,69%,2%,,,0.3,0.5,81,29,88,25,69,845,13,38,barrybr01,2003
Jon Barry 2003,SG,33,DET,80,1473,14%,85%,1%,,,10.4,9.8,59,15,50,4,34,458,6,13,barryjo01,2003
Maceo Baston 2003,PF,27,TOR,16,106,,,,92%,9%,-13.3,-6.8,1,3,9,1,6,0,1,1,bastoma01,2003
Mengke Bateer 2003,C,27,SAS,12,46,,,,9%,91%,-21.7,-28.2,3,1,9,0,1,8,0,3,bateeme01,2003
Mike Batiste 2003,PF,25,MEM,75,1248,,,28%,71%,1%,-5.9,-3.5,24,19,43,6,39,112,11,32,batismi01,2003
Tony Battie 2003,C,26,BOS,67,1683,,,,,100%,5.5,10.1,15,16,135,7,49,120,6,13,battito01,2003
Shane Battier 2003,SF,24,MEM,78,2383,,9%,89%,2%,,-2.0,3.7,30,16,131,13,57,231,19,26,battish01,2003
Lonny Baxter 2003,C,24,CHI,55,682,,,1%,57%,41%,-3.0,3.0,6,24,63,14,50,34,15,33,baxtelo01,2003
Raja Bell 2003,SG,26,DAL,75,1173,1%,86%,12%,1%,,4.0,-6.1,24,5,47,7,8,134,2,10,bellra01,2003
Jonathan Bender 2003,SF,22,IND,46,819,,1%,51%,48%,1%,-1.3,-6.1,9,16,41,13,40,88,11,22,bendejo01,2003
Corey Benjamin 2003,SG,24,ATL,9,152,,96%,3%,,,-5.2,-1.5,2,1,5,1,7,24,0,3,benjaco01,2003
Travis Best 2003,PG,30,MIA,72,1807,100%,,,,,-6.8,-2.1,66,31,74,5,43,566,7,28,besttr01,2003
Mike Bibby 2003,PG,24,SAC,55,1835,87%,13%,,,,8.9,4.2,71,40,45,12,55,611,11,25,bibbymi01,2003
Chauncey Billups 2003,PG,26,DET,74,2327,98%,3%,,,,4.0,-0.5,70,41,48,18,127,619,23,54,billuch01,2003
Corie Blount 2003,C,34,CHI,50,836,,,,32%,68%,-0.3,6.5,23,10,69,6,15,109,4,10,blounco01,2003
Mark Blount 2003,C,27,TOT,81,1403,,,,,100%,-11.3,-7.8,27,29,77,20,71,124,19,36,blounma01,2003
Calvin Booth 2003,C,26,SEA,47,575,,,,15%,85%,3.3,3.7,8,10,43,3,23,27,1,8,boothca01,2003
Carlos Boozer 2003,PF,21,CLE,81,2049,,,1%,88%,11%,-12.2,-3.7,39,32,117,20,88,224,16,59,boozeca01,2003
Ruben Boumtje-Boumtje 2003,C,24,POR,2,5,,,,,100%,32.2,29.3,0,0,0,0,0,2,0,1,boumtru01,2003
Bruce Bowen 2003,SF,31,SAS,82,2566,,4%,96%,,,8.8,7.6,39,16,64,10,35,266,6,25,bowenbr01,2003
Ryan Bowen 2003,SG,27,DEN,62,996,,67%,33%,,,-2.4,9.3,21,10,38,4,24,113,11,20,bowenry01,2003
Earl Boykins 2003,PG,26,GSW,68,1321,100%,,,,,2.9,6.0,29,27,23,3,53,495,9,30,boykiea01,2003
Michael Bradley 2003,PF,23,TOR,67,1314,,,1%,81%,19%,-8.9,-3.4,29,23,68,16,27,149,7,19,bradlmi01,2003
Shawn Bradley 2003,C,30,DAL,81,1731,,,,,100%,9.7,2.4,22,14,140,15,74,118,18,21,bradlsh01,2003
Elton Brand 2003,PF,23,LAC,62,2454,,,,93%,7%,-3.1,3.8,44,53,88,23,151,364,48,60,brandel01,2003
J.R. Bremer 2003,PG,22,BOS,64,1503,85%,15%,,,,-2.6,-3.7,23,19,34,10,37,392,1,23,bremejr01,2003
Jamison Brewer 2003,PG,22,IND,10,80,98%,2%,,,,6.8,3.3,3,2,4,0,4,40,1,1,breweja01,2003
Primož Brezec 2003,C,23,IND,22,111,,,,,100%,10.5,7.1,2,3,6,0,8,8,2,2,brezepr01,2003
Damone Brown 2003,PF,23,TOR,5,115,,,79%,21%,,-3.3,3.5,4,1,9,1,4,6,2,3,brownda02,2003
Devin Brown 2003,SG,24,TOT,10,93,11%,78%,12%,,,-9.8,-8.3,1,3,7,3,4,14,0,1,brownde02,2003
Kedrick Brown 2003,SF,21,BOS,51,666,,40%,60%,,,-4.5,-5.0,12,6,22,2,12,48,0,9,brownke01,2003
Kwame Brown 2003,C,20,WAS,80,1773,,,,31%,69%,-3.1,-3.7,29,51,82,16,96,125,21,33,brownkw01,2003
P.J. Brown 2003,PF,33,NOH,78,2609,,,1%,96%,4%,2.2,-0.5,34,26,88,21,96,327,11,39,brownpj01,2003
Randy Brown 2003,PG,34,PHO,32,262,71%,29%,,,,-2.7,-4.2,11,2,10,4,3,73,0,4,brownra02,2003
Tierre Brown 2003,PG,23,CLE,15,168,100%,,,,,4.5,15.6,16,4,4,1,8,87,4,8,brownti01,2003
Rick Brunson 2003,PG,30,CHI,17,196,75%,25%,,,,0.8,6.5,11,4,11,1,4,75,0,3,brunsri01,2003
Kobe Bryant* 2003,SG,24,LAL,82,3401,,90%,10%,,,3.8,10.0,140,93,58,37,263,1062,52,79,bryanko01,2003
Mark Bryant 2003,PF,37,TOT,16,100,,,,64%,36%,-9.0,-6.6,2,4,8,1,1,10,0,0,bryanma01,2003
Greg Buckner 2003,SG,26,PHI,75,1514,1%,48%,51%,1%,,4.3,3.0,32,13,84,9,33,205,6,24,buckngr01,2003
Pat Burke 2003,C,29,ORL,62,783,,,,,100%,-13.1,-16.4,17,18,61,9,22,52,3,22,burkepa01,2003
Caron Butler 2003,SF,22,MIA,78,2858,,,94%,6%,,-7.2,-5.6,64,66,81,43,145,462,31,95,butleca01,2003
Rasual Butler 2003,SG,23,MIA,72,1514,1%,57%,42%,,,-8.0,-3.7,36,24,60,6,36,205,6,26,butlera01,2003
Jason Caffey 2003,PF,29,MIL,51,894,,,4%,71%,26%,-2.8,-4.3,17,14,48,13,55,85,14,27,caffeja01,2003
Marcus Camby 2003,C,28,DEN,29,616,,,,31%,69%,-11.9,-3.0,21,3,40,1,26,99,6,19,cambyma01,2003
Elden Campbell 2003,C,34,TOT,56,869,,,,8%,92%,3.8,2.8,16,17,71,14,62,112,6,22,campbel01,2003
Brian Cardinal 2003,PF,25,WAS,5,15,,,44%,44%,13%,41.4,42.6,1,0,0,0,1,2,0,0,cardibr01,2003
Anthony Carter 2003,PG,27,MIA,49,912,99%,1%,,,,-7.4,-2.2,57,10,23,6,19,439,4,13,cartean01,2003
Vince Carter 2003,SG,26,TOR,43,1471,,65%,35%,,,-0.7,9.4,43,16,54,10,45,321,12,20,cartevi01,2003
Sam Cassell 2003,PG,33,MIL,78,2700,100%,,,,,-2.0,-8.0,92,54,63,17,137,996,17,41,cassesa01,2003
Kelvin Cato 2003,C,28,HOU,73,1247,,,,2%,98%,0.1,-2.1,21,14,95,15,53,43,7,19,catoke01,2003
Tyson Chandler 2003,C,20,CHI,75,1827,,,,34%,66%,-8.5,-5.6,41,52,102,28,123,162,29,41,chandty01,2003
Calbert Cheaney 2003,SG,31,UTA,81,2351,,97%,3%,,,5.1,4.9,56,27,80,15,33,343,5,36,cheanca01,2003
Chris Childs 2003,PG,35,NJN,12,106,78%,22%,,,,-2.4,-8.5,3,1,10,1,0,33,0,1,childch01,2003
Doug Christie 2003,SG,32,SAC,80,2710,2%,96%,2%,,,9.6,9.4,86,31,78,17,48,814,9,21,chrisdo01,2003
Keon Clark 2003,C,27,SAC,80,1780,,,,37%,63%,5.6,-1.9,36,40,158,10,57,179,10,30,clarkke01,2003
Speedy Claxton 2003,PG,24,SAS,30,471,100%,,,,,2.4,-4.2,19,8,17,2,19,182,4,8,claxtsp01,2003
Mateen Cleaves 2003,PG,25,SAC,12,55,5%,95%,,,,-2.0,-8.8,8,3,2,2,1,22,0,2,cleavma01,2003
Derrick Coleman 2003,C,35,PHI,64,1742,,,,3%,97%,6.8,7.8,51,27,102,8,70,183,9,47,colemde01,2003
