player,pos,age,team_id,g,mp,pct_1,pct_2,pct_3,pct_4,pct_5,plus_minus_on,plus_minus_net,tov_bad_pass,tov_lost_ball,fouls_shooting,fouls_offensive,drawn_shooting,drawn_offensive,astd_pts,and1s,own_shots_blk,player_id,year
Jeff Adrien 2012,PF,25,HOU,8,63,,,,100%,,-12.6,-13.2,2,0,3,0,5,1,2,0,2,adrieje01,2012
Arron Afflalo 2012,SG,26,DEN,62,2086,2%,71%,26%,1%,,1.1,-6.2,24,24,67,18,86,6,357,17,62,afflaar01,2012
Blake Ahearn 2012,PG,27,UTA,4,30,100%,,,,,-19.7,-20.5,4,1,2,0,0,0,2,0,0,ahearbl01,2012
Solomon Alabi 2012,C,23,TOR,14,122,,,,,100%,1.7,5.7,3,0,6,1,4,0,7,0,4,alabiso01,2012
Cole Aldrich 2012,C,23,OKC,26,173,,,,,100%,-6.9,-14.4,3,5,13,0,4,1,6,0,2,aldrico01,2012
LaMarcus Aldridge 2012,PF,26,POR,55,1994,,,,68%,33%,3.5,12.4,22,52,88,21,125,6,340,30,28,aldrila01,2012
Lavoy Allen 2012,PF,22,PHI,41,624,,,,64%,36%,6.3,1.9,11,2,47,3,7,2,72,2,10,allenla01,2012
Ray Allen* 2012,SG,36,BOS,46,1565,,94%,6%,,,2.8,-0.3,36,19,42,11,34,4,229,9,18,allenra02,2012
Tony Allen 2012,SG,30,MEM,58,1525,8%,92%,,,,6.6,8.3,40,33,60,11,77,6,167,16,49,allento01,2012
Morris Almond 2012,SG,26,WAS,4,67,,92%,8%,,,27.2,34.0,0,0,1,1,2,0,4,1,0,almonmo01,2012
Al-Farouq Aminu 2012,SF,21,NOH,66,1477,,1%,88%,12%,,-0.6,6.8,30,30,67,18,49,3,141,13,39,aminual01,2012
Lou Amundson 2012,PF,29,IND,60,753,,,,96%,4%,-2.5,-7.5,15,13,69,6,35,4,32,6,29,amundlo01,2012
Chris Andersen 2012,C,33,DEN,32,486,,,,6%,94%,5.4,2.4,3,7,31,3,32,3,13,5,9,anderch01,2012
Alan Anderson 2012,SF,29,TOR,17,461,,24%,76%,,,-2.0,2.0,8,8,18,3,13,3,56,3,7,anderal01,2012
James Anderson 2012,SG,22,SAS,51,603,,72%,28%,,,8.5,0.8,9,13,20,6,21,1,89,2,14,anderja01,2012
Ryan Anderson 2012,PF,23,ORL,61,1964,,,,93%,7%,6.5,14.6,23,17,64,5,73,14,129,16,37,anderry01,2012
Carmelo Anthony 2012,SF,27,NYK,55,1876,,1%,73%,26%,,2.5,-2.0,58,37,65,29,149,7,463,28,72,anthoca01,2012
Joel Anthony 2012,C,29,MIA,64,1349,,,,,100%,10.3,6.2,8,16,84,9,34,8,20,3,22,anthojo01,2012
Gilbert Arenas 2012,PG,30,MEM,17,211,92%,8%,,,,7.1,5.1,9,2,13,1,4,0,41,0,3,arenagi01,2012
Trevor Ariza 2012,SF,26,NOH,41,1350,,11%,87%,2%,,-6.9,-4.6,30,27,29,10,42,7,299,9,26,arizatr01,2012
Ömer Aşık 2012,C,25,CHI,66,971,,,,,100%,9.6,0.1,14,23,65,9,51,7,75,11,24,asikom01,2012
D.J. Augustin 2012,PG,24,CHA,48,1408,77%,23%,,,,-15.4,0.5,65,20,23,15,36,16,659,5,42,augusdj01,2012
Gustavo Ayón 2012,PF,26,NOH,54,1088,,,,65%,35%,-1.6,4.0,17,11,47,9,29,6,166,11,32,ayongu01,2012
Jeff Ayres 2012,C,24,IND,20,106,,,,7%,94%,4.1,0.9,1,0,8,1,2,2,11,1,4,pendeje02,2012
Kelenna Azubuike 2012,SG,28,DAL,3,18,,21%,79%,,,-27.0,-28.4,2,1,0,1,0,0,0,0,0,azubuke01,2012
Luke Babbitt 2012,SF,22,POR,40,537,,,50%,50%,,-13.5,-14.8,7,14,25,2,4,1,39,0,5,babbilu01,2012
Renaldo Balkman 2012,SF,27,NYK,14,115,,10%,67%,23%,,0.5,-3.0,2,4,9,0,4,0,11,1,0,balkmre01,2012
Leandro Barbosa 2012,SG,29,TOT,64,1382,7%,93%,,,,-2.3,-2.7,38,29,48,21,48,9,227,13,36,barbole01,2012
J.J. Barea 2012,PG,27,MIN,41,1032,100%,,,,,-4.2,-3.2,64,29,14,7,40,35,530,8,27,bareajo01,2012
Andrea Bargnani 2012,C,26,TOR,31,1032,,,,22%,78%,-2.6,1.6,20,21,17,16,77,4,132,14,22,bargnan01,2012
Matt Barnes 2012,SF,31,LAL,63,1440,,16%,84%,1%,,2.4,1.6,43,18,75,7,45,6,273,8,30,barnema02,2012
Earl Barron 2012,C,30,GSW,2,9,,,,,100%,-11.8,-8.2,0,0,3,0,0,0,0,0,0,barroea01,2012
Brandon Bass 2012,PF,26,BOS,59,1868,,,,97%,3%,4.7,4.3,17,26,77,13,71,6,133,9,60,bassbr01,2012
Tony Battie 2012,C,35,PHI,27,295,,,,8%,92%,8.2,3.8,2,1,16,0,1,2,37,0,2,battito01,2012
Shane Battier 2012,SF,33,MIA,65,1499,,32%,65%,3%,,4.9,-3.4,29,2,51,2,6,18,182,1,12,battish01,2012
Nicolas Batum 2012,SF,23,POR,59,1791,,1%,66%,33%,,-1.8,-1.5,45,22,36,10,68,20,198,15,38,batumni01,2012
Jerryd Bayless 2012,PG,23,TOR,31,705,79%,22%,,,,-2.0,2.2,18,20,31,7,34,7,262,4,7,bayleje01,2012
Michael Beasley 2012,SF,23,MIN,47,1087,,,73%,26%,1%,-3.3,-1.9,28,26,42,15,46,1,99,9,31,beaslmi01,2012
