player,player_id,pos,age,team_id,g,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ows,dws,ws,ws_per_48,obpm,dbpm,bpm,vorp,year,avg_dist,fg3_heave,fg3a_heave,fg_dunk,fg_pct,fg_pct_00_03,fg_pct_03_10,fg_pct_10_16,fg_pct_16_xx,fg_pct_corner3,fg_pct_fg2a,fg_pct_fg3a,pct_ast_fg2,pct_ast_fg3,pct_fg3a_corner3,pct_fga_00_03,pct_fga_03_10,pct_fga_10_16,pct_fga_16_xx,pct_fga_dunk,pct_fga_fg2a,pct_fga_fg3a,and1s,astd_pts,drawn_offensive,drawn_shooting,fouls_offensive,fouls_shooting,own_shots_blk,pct_1,pct_2,pct_3,pct_4,pct_5,plus_minus_net,plus_minus_on,tov_bad_pass,tov_lost_ball,ast_per_poss,blk_per_poss,def_rtg,drb_per_poss,fg2_pct,fg2_per_poss,fg2a_per_poss,fg3_pct,fg3_per_poss,fg3a_per_poss,fg_per_poss,fga_per_poss,ft_pct,ft_per_poss,fta_per_poss,gs,off_rtg,orb_per_poss,pf_per_poss,pts_per_poss,stl_per_poss,tov_per_poss,trb_per_poss
Álex Abrines 2017,abrinal01,SG,23,OKC,68,1055,10.1,.560,.724,.144,1.9,7.1,4.5,5.5,1.7,0.6,8.3,15.9,1.2,0.9,2.1,.096,-1.3,-0.4,-1.6,0.1,2017,20.6,0,2,5,.393,.488,.438,.333,.364,.404,.426,.381,.600,.968,.231,.120,.047,.044,.065,.015,.276,.724,4,94,10,15,4,62,8,,79%,21%,,,-2.2,-1.1,17,7,1.9,0.4,110,3.2,.426,1.9,4.4,.381,4.4,11.5,6.2,15.9,.898,2.0,2.3,6,113,0.8,5.3,18.9,1.7,1.5,4.0
Quincy Acy 2017,acyqu01,PF,26,TOT,38,558,11.8,.565,.529,.353,3.9,18.0,11.0,4.9,1.2,2.0,9.7,16.8,0.5,0.5,0.9,.082,-1.5,-0.6,-2.1,0.0,2017,16.2,0,1,6,.412,.489,.273,.308,.400,.360,.413,.411,.727,.973,.278,.265,.065,.076,.059,.035,.471,.529,7,42,5,24,6,25,8,,,2%,81%,17%,1.2,-3.7,5,7,1.5,1.3,110,8.1,.413,2.8,6.8,.411,3.2,7.7,6.0,14.6,.750,3.9,5.1,1,109,1.7,5.7,19.0,1.2,1.8,9.8
Steven Adams 2017,adamsst01,C,23,OKC,80,2389,16.5,.589,.002,.392,13.0,15.4,14.2,5.4,1.8,2.6,16.0,16.2,3.3,3.1,6.5,.130,-0.2,0.0,-0.2,1.1,2017,3.7,0,1,112,.571,.655,.488,.367,.000,,.572,.000,.668,,.000,.557,.388,.046,.005,.198,.998,.002,28,217,7,117,32,75,43,,,,,100%,7.6,3.5,37,57,1.8,1.6,107,6.8,.572,7.7,13.4,.000,0.0,0.0,7.7,13.5,.611,3.2,5.3,80,114,5.8,4.0,18.6,1.8,3.0,12.6
Arron Afflalo 2017,afflaar01,SG,31,SAC,61,1580,8.9,.559,.360,.221,0.7,8.4,4.6,7.4,0.7,0.3,8.4,14.4,1.2,0.2,1.4,.043,-2.1,-1.5,-3.6,-0.7,2017,16.8,0,1,1,.440,.571,.449,.449,.424,.517,.457,.411,.504,.968,.384,.100,.117,.186,.236,.002,.640,.360,7,185,3,30,8,49,28,4%,66%,30%,,,-5.9,-7.5,18,10,2.5,0.2,116,3.7,.457,3.9,8.6,.411,2.0,4.8,5.9,13.5,.892,2.7,3.0,45,109,0.3,3.3,16.5,0.7,1.3,4.0
Alexis Ajinça 2017,ajincal01,C,28,NOP,39,584,12.9,.529,.022,.225,8.3,23.8,16.0,3.1,1.7,3.1,13.7,17.2,0.0,0.9,1.0,.080,-4.0,0.7,-3.3,-0.2,2017,9.0,0,0,20,.500,.710,.378,.579,.354,,.511,.000,.820,,.000,.348,.253,.107,.270,.129,.978,.022,7,27,0,21,8,44,14,,,,,100%,-3.6,-5.0,7,8,1.0,1.8,104,11.0,.511,7.5,14.6,.000,0.0,0.3,7.5,14.9,.725,2.4,3.4,15,101,3.9,6.5,17.4,1.7,2.6,14.8
Cole Aldrich 2017,aldrico01,C,28,MIN,62,531,12.7,.549,.000,.256,11.0,23.9,17.4,6.4,2.4,3.7,15.1,9.4,0.6,0.7,1.3,.116,-2.3,1.5,-0.8,0.2,2017,3.0,0,0,11,.523,.640,.371,.000,,,.523,,.733,,,.581,.407,.012,.000,.128,1.000,.000,3,59,2,10,7,35,7,,,,26%,74%,-0.6,-1.6,0,6,2.4,2.2,107,10.2,.523,4.3,8.2,,0.0,0.0,4.3,8.2,.682,1.4,2.1,0,118,4.9,8.1,10.0,2.4,1.6,15.1
LaMarcus Aldridge 2017,aldrila01,PF,31,SAS,72,2335,18.6,.532,.053,.258,8.5,16.6,12.7,9.9,1.0,3.0,7.7,24.5,3.5,3.7,7.2,.149,0.7,0.1,0.8,1.7,2017,11.8,0,0,37,.477,.700,.422,.387,.424,.435,.480,.411,.577,.957,.411,.222,.194,.202,.328,.041,.947,.053,17,345,4,110,15,94,32,,,,69%,31%,-5.0,5.8,33,34,3.0,1.9,104,7.7,.480,10.4,21.7,.411,0.5,1.2,10.9,22.9,.812,4.8,5.9,72,111,3.8,3.4,27.1,1.0,2.1,11.4
Lavoy Allen 2017,allenla01,PF,27,IND,61,871,11.6,.485,.006,.196,13.7,14.5,14.1,9.1,1.0,2.4,13.7,10.9,0.9,0.8,1.7,.093,-1.5,-0.2,-1.7,0.1,2017,8.9,0,0,4,.458,.583,.465,.200,.370,,.461,.000,.740,,.000,.357,.256,.060,.321,.030,.994,.006,3,135,0,10,2,50,13,,,,84%,16%,-7.3,-5.9,18,7,3.3,1.4,110,6.6,.461,4.4,9.6,.000,0.0,0.1,4.4,9.7,.697,1.3,1.9,5,114,6.0,4.5,10.2,1.0,1.7,12.6
Tony Allen 2017,allento01,SG,35,MEM,71,1914,13.3,.493,.091,.218,9.6,13.8,11.7,8.4,3.1,1.4,13.3,17.9,0.2,2.9,3.1,.077,-2.0,1.1,-1.0,0.5,2017,5.6,0,0,16,.461,.557,.273,.333,.278,.316,.479,.278,.552,1.000,.704,.652,.166,.030,.061,.027,.909,.091,12,214,7,58,6,78,73,2%,77%,21%,,,1.7,1.6,49,30,2.7,0.8,105,6.1,.479,7.0,14.7,.278,0.4,1.5,7.4,16.2,.615,2.2,3.5,66,101,4.5,4.8,17.5,3.1,2.7,10.6
Al-Farouq Aminu 2017,aminual01,PF,26,POR,61,1773,11.3,.506,.455,.292,4.8,23.5,14.1,7.9,1.7,2.0,15.2,15.4,-0.1,2.0,1.9,.051,-1.4,0.4,-1.1,0.4,2017,14.0,0,3,24,.393,.530,.306,.357,.357,.355,.445,.330,.460,1.000,.358,.320,.133,.030,.060,.058,.545,.455,13,241,11,67,9,48,24,,,,95%,5%,3.9,1.8,35,30,2.8,1.2,108,10.5,.445,3.2,7.1,.330,2.0,5.9,5.1,13.1,.706,2.7,3.8,25,100,2.2,2.9,14.9,1.7,2.6,12.6
Chris Andersen 2017,anderch01,C,38,CLE,12,114,11.6,.497,.136,.636,9.0,20.6,15.0,5.9,2.2,5.0,15.1,13.0,0.1,0.2,0.2,.102,-4.7,2.2,-2.5,0.0,2017,7.4,0,0,3,.409,.500,1.000,.000,.333,,.474,.000,.556,,.000,.636,.045,.045,.136,.136,.864,.136,0,14,1,6,1,13,2,,,,4%,96%,1.3,4.5,3,1,2.2,3.1,104,9.6,.474,3.9,8.3,.000,0.0,1.3,3.9,9.6,.714,4.4,6.1,0,107,3.9,8.8,12.3,2.2,2.2,13.6
Alan Anderson 2017,anderal01,SF,34,LAC,30,308,5.0,.494,.550,.200,1.1,7.4,4.4,4.9,0.5,0.0,7.4,13.7,0.0,0.1,0.1,.020,-4.2,-1.9,-6.1,-0.3,2017,17.6,0,0,0,.375,.857,.143,.143,.250,.250,.444,.318,.563,.857,.364,.175,.088,.088,.100,.000,.450,.550,2,23,1,7,0,14,0,,6%,86%,8%,,-16.1,-10.7,3,2,1.8,0.0,114,3.4,.444,2.6,5.8,.318,2.3,7.1,4.9,13.0,.750,1.9,2.6,0,100,0.5,5.7,14.0,0.5,1.1,3.9
Justin Anderson 2017,anderju01,SF,23,TOT,75,1228,13.9,.537,.442,.294,6.2,16.9,11.4,8.8,1.7,1.6,11.7,20.9,0.6,1.3,1.9,.074,-0.9,-0.4,-1.3,0.2,2017,14.1,0,2,37,.424,.707,.339,.280,.136,.341,.522,.299,.539,.948,.227,.319,.128,.057,.050,.096,.558,.442,9,156,6,57,10,58,17,,6%,84%,11%,,-3.7,-7.7,24,22,2.7,0.9,108,7.3,.522,5.3,10.1,.299,2.4,8.0,7.7,18.1,.791,4.2,5.3,10,104,2.8,4.5,21.9,1.7,2.7,10.1
Kyle Anderson 2017,anderky01,SF,23,SAS,72,1020,12.5,.525,.191,.273,3.7,19.0,11.5,12.4,2.5,2.1,14.3,12.1,0.7,2.0,2.7,.127,-1.4,3.2,1.8,1.0,2017,11.2,0,1,4,.445,.611,.439,.273,.294,.414,.462,.375,.577,1.000,.725,.344,.196,.105,.163,.019,.809,.191,3,215,7,25,2,28,15,,21%,69%,9%,,3.2,10.3,15,11,4.5,1.3,101,8.7,.462,3.9,8.4,.375,0.7,2.0,4.6,10.4,.789,2.2,2.8,14,109,1.6,3.1,12.3,2.5,1.9,10.4
Ryan Anderson 2017,anderry01,PF,28,HOU,72,2116,13.5,.583,.655,.194,5.8,11.2,8.5,4.7,0.7,0.5,6.2,17.9,4.0,1.1,5.2,.117,1.7,-2.0,-0.4,0.9,2017,19.9,0,0,6,.418,.568,.351,.444,.338,.542,.446,.403,.378,.980,.142,.144,.074,.035,.092,.009,.345,.655,11,185,12,59,10,68,24,,,,95%,5%,6.1,9.0,14,23,1.5,0.3,113,4.9,.446,2.7,6.1,.403,4.6,11.5,7.3,17.5,.860,2.9,3.4,72,119,2.5,3.2,22.2,0.7,1.2,7.5
